iso3,country,name,position,start_year,end_year,status,source_scraped,source_dataset,dataset_url
ARG,Argentina,Julio C. Gonzalez del Solar,President / Governor,1982,1983,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Enrique Garcia Vazquez,President / Governor,1983,1985,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Juan Jose A. Concepcion,President / Governor,1985,1986,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Jose Luis Machinea,President / Governor,1986,1989,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Enrique Garcia Vazquez,President / Governor,1989,1989,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Javier A. Gonzalez Fraga,President / Governor,1989,1989,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Egidio Ianella (third time),President / Governor,1989,1989,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Rodolfo C. Rossi,President / Governor,1989,1990,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Enrique E. Folcini,President / Governor,1990,1990,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Antonio Erman Gonzalez,President / Governor,1990,1990,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Javier A. Gonzalez Fraga,President / Governor,1990,1991,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
