country;central_bank;wikipedia_bank_url
Portugal;European Central Bank ( Bank of Portugal );https://en.wikipedia.org/wiki/European_Central_Bank
Qatar;Qatar Central Bank;https://en.wikipedia.org/wiki/Qatar_Central_Bank
Romania;National Bank of Romania;https://en.wikipedia.org/wiki/National_Bank_of_Romania
Russia;Central Bank of Russia;https://en.wikipedia.org/wiki/Central_Bank_of_Russia
Rwanda;National Bank of Rwanda;https://en.wikipedia.org/wiki/National_Bank_of_Rwanda
Saint Kitts and Nevis;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
Saint Lucia;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
Saint Vincent and the Grenadines;Eastern Caribbean Central Bank;https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
Samoa;Central Bank of Samoa;https://en.wikipedia.org/wiki/Central_Bank_of_Samoa
San Marino;Central Bank of the Republic of San Marino;https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_San_Marino
São Tomé and Príncipe;Central Bank of São Tomé and Príncipe;https://en.wikipedia.org/wiki/Central_Bank_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Saudi Arabia;Saudi Central Bank;https://en.wikipedia.org/wiki/Saudi_Central_Bank
Senegal;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
Serbia;National Bank of Serbia;https://en.wikipedia.org/wiki/National_Bank_of_Serbia
Seychelles;Central Bank of Seychelles;https://en.wikipedia.org/wiki/Central_Bank_of_Seychelles
Sierra Leone;Bank of Sierra Leone;https://en.wikipedia.org/wiki/Bank_of_Sierra_Leone
Singapore;Monetary Authority of Singapore;https://en.wikipedia.org/wiki/Monetary_Authority_of_Singapore
Sint Maarten;Central Bank of Curaçao and Sint Maarten;https://en.wikipedia.org/wiki/Central_Bank_of_Cura%C3%A7ao_and_Sint_Maarten
Slovakia;European Central Bank ( National Bank of Slovakia );https://en.wikipedia.org/wiki/European_Central_Bank
Slovenia;European Central Bank ( Bank of Slovenia );https://en.wikipedia.org/wiki/European_Central_Bank
Solomon Islands;Central Bank of Solomon Islands;https://en.wikipedia.org/wiki/Central_Bank_of_Solomon_Islands
Somalia;Central Bank of Somalia;https://en.wikipedia.org/wiki/Central_Bank_of_Somalia
Somaliland *;Bank of Somaliland;https://en.wikipedia.org/wiki/Bank_of_Somaliland
South Africa;South African Reserve Bank;https://en.wikipedia.org/wiki/South_African_Reserve_Bank
South Ossetia *;National Bank of the Republic of South Ossetia;
South Sudan;Bank of South Sudan;https://en.wikipedia.org/wiki/Bank_of_South_Sudan
Spain;European Central Bank ( Bank of Spain );https://en.wikipedia.org/wiki/European_Central_Bank
Sri Lanka;Central Bank of Sri Lanka;https://en.wikipedia.org/wiki/Central_Bank_of_Sri_Lanka
Sudan;Central Bank of Sudan;https://en.wikipedia.org/wiki/Central_Bank_of_Sudan
Suriname;Central Bank of Suriname;https://en.wikipedia.org/wiki/Central_Bank_of_Suriname
Sweden;Sveriges Riksbank;https://en.wikipedia.org/wiki/Sveriges_Riksbank
Switzerland;Swiss National Bank;https://en.wikipedia.org/wiki/Swiss_National_Bank
Syria;Central Bank of Syria;https://en.wikipedia.org/wiki/Central_Bank_of_Syria
Taiwan *;Central Bank of the Republic of China (Taiwan);https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_China_(Taiwan)
Tajikistan;National Bank of Tajikistan;https://en.wikipedia.org/wiki/National_Bank_of_Tajikistan
Tanzania;Bank of Tanzania;https://en.wikipedia.org/wiki/Bank_of_Tanzania
Thailand;Bank of Thailand;https://en.wikipedia.org/wiki/Bank_of_Thailand
Timor-Leste;Timor-Leste Central Bank;https://en.wikipedia.org/wiki/Banco_Central_de_Timor-Leste
Togo;Central Bank of West African States;https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
Tonga;National Reserve Bank of Tonga;https://en.wikipedia.org/wiki/National_Reserve_Bank_of_Tonga
Transnistria *;Transnistrian Republican Bank;https://en.wikipedia.org/wiki/Transnistrian_Republican_Bank
Trinidad and Tobago;Central Bank of Trinidad and Tobago;https://en.wikipedia.org/wiki/Central_Bank_of_Trinidad_and_Tobago
Tunisia;Central Bank of Tunisia;https://en.wikipedia.org/wiki/Central_Bank_of_Tunisia
Turkey;Central Bank of the Republic of Turkey;https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Turkey
Turkmenistan;Central Bank of Turkmenistan;https://en.wikipedia.org/wiki/Central_Bank_of_Turkmenistan
Tuvalu;"No central bank; uses the Australian dollar as its domestic currency, and the Tuvaluan dollar pegged to the Australian dollar";https://en.wikipedia.org/wiki/Australian_dollar
Uganda;Bank of Uganda;https://en.wikipedia.org/wiki/Bank_of_Uganda
Ukraine;National Bank of Ukraine;https://en.wikipedia.org/wiki/National_Bank_of_Ukraine
United Arab Emirates;Central Bank of the United Arab Emirates;https://en.wikipedia.org/wiki/Central_Bank_of_the_United_Arab_Emirates
United Kingdom;Bank of England;https://en.wikipedia.org/wiki/Bank_of_England
United States;Federal Reserve;https://en.wikipedia.org/wiki/Federal_Reserve
Uruguay;Central Bank of Uruguay;https://en.wikipedia.org/wiki/Central_Bank_of_Uruguay
Uzbekistan;Central Bank of the Republic of Uzbekistan;https://en.wikipedia.org/wiki/Central_Bank_of_the_Republic_of_Uzbekistan
Vanuatu;Reserve Bank of Vanuatu;https://en.wikipedia.org/wiki/Reserve_Bank_of_Vanuatu
Vatican City;Administration of the Patrimony of the Apostolic See;https://en.wikipedia.org/wiki/Administration_of_the_Patrimony_of_the_Apostolic_See
Venezuela;Central Bank of Venezuela;https://en.wikipedia.org/wiki/Central_Bank_of_Venezuela
Vietnam;State Bank of Vietnam;https://en.wikipedia.org/wiki/State_Bank_of_Vietnam
Wallis and Futuna;Overseas Issuing Institute as part of the CFP;https://en.wikipedia.org/wiki/Overseas_Issuing_Institute
Yemen;Central Bank of Yemen;https://en.wikipedia.org/wiki/Central_Bank_of_Yemen
Zambia;Bank of Zambia;https://en.wikipedia.org/wiki/Bank_of_Zambia
Zimbabwe;Reserve Bank of Zimbabwe;https://en.wikipedia.org/wiki/Reserve_Bank_of_Zimbabwe
European Union;European Central Bank;
