country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Argentina;Central Bank of Argentina;Alejandro Vanoli;President / Governor;2014;2015;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Federico Adolfo Sturzenegger;President / Governor;2015;2018;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Guido Sandleris;President / Governor;2018;2019;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Luis Andres Caputo;President / Governor;2018;2018;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Argentina;Central Bank of Argentina;Miguel Angel Pesce;President / Governor;2019;En cargo;kof;kof_workbook_governors_v2023;https://www.bcra.gob.ar;ARG
Armenia;Central Bank of Armenia;Isahak Isahakyan;President / Governor;1986;1994;kof;kof_workbook_governors_v2023;https://www.cba.am;ARM
Armenia;Central Bank of Armenia;Bagrat Asatryan;President / Governor;1994;1998;kof;kof_workbook_governors_v2023;https://www.cba.am;ARM
Armenia;Central Bank of Armenia;Tigran Sargsyan;President / Governor;1998;2008;kof;kof_workbook_governors_v2023;https://www.cba.am;ARM
Armenia;Central Bank of Armenia;Martin Galstyan;President / Governor;2020;En cargo;kof;kof_workbook_governors_v2023;https://www.cba.am;ARM
Aruba;Central Bank of Aruba;A. J.T. Williams;President / Governor;1986;1988;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;H. Mehran;President / Governor;1986;1986;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;E. den Dunnen;President / Governor;1988;1991;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;A. S. Irausquin;President / Governor;1991;1995;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;J-H. du Marchie Sarvaas;President / Governor;1995;2000;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;A. R. Caram;President / Governor;2000;2004;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;R. Henriquez;President / Governor;2004;2007;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;Hassanali Mehran;President / Governor;2007;2008;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Aruba;Central Bank of Aruba;Jeanette R. Semeleer;President / Governor;2008;En cargo;kof;kof_workbook_governors_v2023;https://www.cba.aw;ABW
Australia;Reserve Bank of Australia;Herbert Cole (Nugget) Coombs;President / Governor;1960;1968;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Australia;Reserve Bank of Australia;John Grant (Jock) Phillips;President / Governor;1968;1975;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Australia;Reserve Bank of Australia;Harold Murray (Harry) Knight;President / Governor;1975;1982;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
