PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Ailton de Aquino Santos;Ailton Santos;BRA;ailton;santos;BRA;;;;;0;0;;;;;;;;
Rodrigo Alves Teixeira;Rodrigo Teixeira;BRA;rodrigo;teixeira;BRA;;;;;0;0;1978;6;;;;;Brazil;Belo Horizonte
Tiago Couto Berriel;Tiago Berriel;BRA;tiago;berriel;BRA;;;;;0;0;;;;;;;;
Fernanda Guardado;Fernanda Guardado;BRA;fernanda;guardado;BRA;;;;;0;1;;;;;;;;
Diogo Abry Guillen;Diogo Guillen;BRA;diogo;guillen;BRA;;;;;0;0;;;;;;;;
Renato Goncalves;Renato Goncalves;BRA;renato;goncalves;BRA;;;;;0;0;;;;;;;;
Bruno Serra Fernandes;Bruno Fernandes;BRA;bruno;fernandes;BRA;;;;;0;0;1978;4;;;;;Brazil;Rio de Janeiro
Gabriel Galipolo;Gabriel Galipolo;BRA;gabriel;galipolo;BRA;2023;5;2023;7;0;0;1982;4;2;Catholic University of São;;;Brazil;São Paulo
Gabriel Galípolo;Gabriel Galipolo;BRA;gabriel;galipolo;BRA;2023;5;2023;7;2;0;1982;4;2;Catholic University of São;;;Brazil;São Paulo
Ary Burguer;Ary Burguer;BRA;ary;burguer;BRA;;;;;2;0;;;;;;;;
Luiz Augusto de Oliveira Candiota;Luiz Candiota;BRA;luiz;candiota;BRA;;;;;2;0;;;;;;;;
João Antônio Fleury Teixeira;Joao Teixeira;BRA;joao;teixeira;BRA;;;;;0;0;;;;;;;;
Meirelles;Anthero Meirelles;BRA;anthero;meirelles;BRA;;;;;0;0;;;;;;;;
Altamir Lopes;Altamir Lopes;BRA;altamir;lopes;BRA;;;;;2;0;;;;;;;;
Carlos Viana de Carvalho;Carlos Carvalho;BRA;carlos;carvalho;BRA;;;;;0;0;1957;3;;;;;Brazil;Rio de Janeiro
Renato Dias de Brito Gomes;Renato Gomes;BRA;renato;gomes;BRA;;;;;1;0;1981;1;;;;;Brazil;João Pessoa
Dr. Courtney Blackman;Courtney Blackman;BRB;courtney;blackman;BRB;;;;;2;0;1933;3;6;;;"University of the; Interamerican University of Puerto; Columbia University";Barbados;Barbados
Dr Kurgleigh King;Kurleigh King;BRB;kurleigh;king;BRB;;;;;2;0;;;;;;;;
DeLisle Worrell;De Worrell;BRB;de;worrell;BRB;;;;;2;0;;;;;;;;
DeLisle Worrell;Delisle Worrell;BRB;delisle;worrell;BRB;2009;11;2017;3;2;0;1945;;6;;;Gill University;Barbados;Barbados
Carlos Holder;Carlos Holder;BRB;carlos;holder;BRB;;;;;1;0;;;;;;;;
Darcy Boyce;Darcy Boyce;BRB;darcy;boyce;BRB;;;;;1;0;;;;;;;;
Elson Gaskin;Elson Gaskin;BRB;elson;gaskin;BRB;;;;;1;0;;;;;;;;
Cleviston Haynes;Cleviston Haynes;BRB;cleviston;haynes;BRB;;;;;2;0;;;;;;;;
Dr Greenidge;Dr Greenidge;BRB;dr;greenidge;BRB;;;;;2;0;;;;;;;;
Mr. Calvin Springer;Calvin Springer;BRB;calvin;springer;BRB;;;;;2;0;;;;;;;;
Mr. Winston Cox;Winston Cox;BRB;winston;cox;BRB;;;;;2;0;;;;;;;;
Marion Williams;Marion Williams;BRB;marion;williams;BRB;;;;;2;1;1927;8;;;;;United States;Miami
Kevin Greenidge;Kevin Greenidge;BRB;kevin;greenidge;BRB;;;;;2;0;;;;;;;;
Haji Mohd Roselan bin Haij Mohd Daud;Haji Daud;BRN;haji;daud;BRN;;;;;0;0;;;;;;;;
Haji Mohd Roselan bin Haij Mohd Daud;Haji Daud;BRN;haji;daud;BRN;;;;;0;0;;;;;;;;
Khairuddin bin Haji Abdul Hamid;Khairuddin Hamid;BRN;khairuddin;hamid;BRN;;;;;2;0;;;;;;;;
Dr. Haji Abdul Manaf bin Haji Metussin;Haji Metussin;BRN;haji;metussin;BRN;;;;;2;0;;;;;;;;
Haji Hisham bin Haji Mohd Hanifah;Haji Hanifah;BRN;haji;hanifah;BRN;;;;;0;0;;;;;;;;
Haji Ahmaddin bin Haji Abdul Rahman;Haji Rahman;BRN;haji;rahman;BRN;;;;;2;0;;;;;;;;
Prince Billah;Prince Billah;BRN;prince;billah;BRN;;;;;2;0;;;;;;;;
Abdul Ibrahim;Abdul Ibrahim;BRN;abdul;ibrahim;BRN;;;;;0;0;;;;;;;;
Mohd Rosli bin Haji Sabtu;Mohd Sabtu;BRN;mohd;sabtu;BRN;;;;;0;0;;;;;;;;
Dayang Naimah binti Md.Ali;Dayang Md;BRN;dayang;md;BRN;;;;;0;1;;;;;;;;
Mohammad Yasmin bin Haji Umar;Mohammad Umar;BRN;mohammad;umar;BRN;;;;;0;0;;;;;;;;
Rashidah binti Haji Sabtu;Rashidah Sabtu;BRN;rashidah;sabtu;BRN;;;;;1;1;;;;;;;;
Lyonpo Kinzang Dorji;Lyonpo Dorji;BTN;lyonpo;dorji;BTN;;;;;2;0;;;;;;;;
H. E. Lyonpo Yeshey Zimba;Lyonpo Zimba;BTN;lyonpo;zimba;BTN;;;;;2;0;;;;;;;;
H. E. Lyonpo Yeshey Zimba;Lyonpo Zimba;BTN;lyonpo;zimba;BTN;;;;;2;0;;;;;;;;
H.E. Daw Tezin;H Tezin;BTN;h;tezin;BTN;;;;;2;0;;;;;;;;
Dasho Penjore;Dasho Penjore;BTN;dasho;penjore;BTN;;;;;2;0;;;;;;;;
Ashi Sonam Choden Wangchuck;Ashi Wangchuck;BTN;ashi;wangchuck;BTN;;;;;2;0;;;;;;;;
Dasho Bap Kesang;Dasho Kesang;BTN;dasho;kesang;BTN;;;;;2;0;;;;;;;;
Sonam Wangchuk;Dasho Wangchuk;BTN;dasho;wangchuk;BTN;;;;;2;0;;;;;;;;
Lyonpo Wangdi Norbu;Lyonpo Norbu;BTN;lyonpo;norbu;BTN;;;;;2;0;;;;;;;;
Lyonpo Wangdi Norbu;Lyonpo Norbu;BTN;lyonpo;norbu;BTN;;;;;2;0;;;;;;;;
Daw Tenzin;Dasho Tenzin;BTN;dasho;tenzin;BTN;;;;;2;0;;;;;;;;
Dasho Yangchen Tshogyel;Dasho Tshogyel;BTN;dasho;tshogyel;BTN;;;;;2;1;;;;;;;;
"Jean-Baptiste Compaoré
";Jean Compaore;BUR;jean;compaore;BUR;;;;;1;0;;;;;;;;
N Fidzani;N Fidzani;BWA;n;fidzani;BWA;;;;;0;0;;;;;;;;
T. Seretse;T Seretse;BWA;t;seretse;BWA;;;;;0;1;;;;;;;;
Charles Kikonyogo	;Charles Kikonyogo;BWA;charles;kikonyogo;BWA;;;;;2;0;;;;;;;;
Charles Nyonyintono Kikonyogo;Charles Kikonyogo;BWA;charles;kikonyogo;BWA;;;;;2;0;;;;;;;;
Hermans;Christopher Hermans;BWA;christopher;hermans;BWA;;;;;2;0;;;;;;;;
Quill Hermans;Quill Hermans;BWA;quill;hermans;BWA;;;;;2;0;;;;;;;;
Festus Mogae;Festus Mogae;BWA;festus;mogae;BWA;1998;4;2008;4;2;0;1939;8;2;Oxford University of Sussex;;;Botswana;Serowe
Mogae;Festus Mogae;BWA;festus;mogae;BWA;1998;4;2008;4;2;0;1939;8;2;Oxford University of Sussex;;;Botswana;Serowe
Gaolathe;Baledzi Gaolathe;BWA;baledzi;gaolathe;BWA;;;;;2;0;;;;;;;;
U. Corea;U Corea;BWA;u;corea;BWA;;;;;0;0;;;;;;;;
Linah K Mohohlo;Linah Mohohlo;BWA;linah;mohohlo;BWA;1999;10;2016;;2;1;1952;2;1;;;;Botswana;Ramotswa
G Cunliffe;G Cunliffe;BWA;g;cunliffe;BWA;;;;;2;0;;;;;;;;
Linah Mohohlo;Linah Mohohlo;BWA;linah;mohohlo;BWA;1999;10;2016;;2;1;1952;2;1;;;;Botswana;Ramotswa
Keith Jefferis;Keith Jefferis;BWA;keith;jefferis;BWA;;;;;1;0;;;;;;;;
Moses Dinekere Pelaelo;Moses Pelaelo;BWA;moses;pelaelo;BWA;;;;;2;0;;;;;;;;
Moses Dinekere Pelaelo;Moses Pelaelo;BWA;moses;pelaelo;BWA;;;;;2;1;;;;;;;;
Cornelius Dekop;Cornelius Dekop;BWA;cornelius;dekop;BWA;;;;;2;0;;;;;;;;
Victoria Lekoma;Victoria Lekoma;BWA;victoria;lekoma;BWA;;;;;0;1;;;;;;;;
Malebogo Bakwena;Malebogo Bakwena;BWA;malebogo;bakwena;BWA;;;;;0;1;;;;;;;;
Brenton C. Leavitt;Brenton Leavitt;BWA;brenton;leavitt;BWA;;;;;2;0;;;;;;;;
K.R. Jefferis;K Jefferis;BWA;k;jefferis;BWA;;;;;2;0;;;;;;;;
R. G. M Mmutle;R Mmutle;BWA;r;mmutle;BWA;;;;;0;0;;;;;;;;
B. Moeletsi;B Moeletsi;BWA;b;moeletsi;BWA;;;;;0;0;;;;;;;;
C. S. Botlhole-Mmopi;C Botlholemmopi;BWA;c;botlholemmopi;BWA;;;;;0;1;;;;;;;;
R.N. Matthews;R Matthews;BWA;r;matthews;BWA;;;;;0;0;;;;;;;;
J. Sentsho;J Sentsho;BWA;j;sentsho;BWA;;;;;0;0;;;;;;;;
Jean-Félix Mamalepot;Jean Mamalepot;CAF;jean;mamalepot;CAF;;;;;2;0;;;;;;;;
Michael Mukete;Michael Mukete;CAF;michael;mukete;CAF;;;;;2;0;;;;;;;;
Rigobert Roger Andely;Rigobert Andely;CAF;rigobert;andely;CAF;;;;;1;0;;;;;;;;
Philibert Andzembe;Philibert Andzembe;CAF;philibert;andzembe;CAF;;;;;0;0;;;;;;;;
Lucas Abaga Nchama;Lucas Nchama;CAF;lucas;nchama;CAF;;;;;2;0;;;;;;;;
Ali Chaibou;Ali Chaibou;CAF;ali;chaibou;CAF;;;;;0;0;;;;;;;;
Abbas Mahamat Tolli;Abbas Tolli;CAF;abbas;tolli;CAF;2017;2;;;2;0;1972;4;1;;;;Chad;Abéché
Yvon Sana Bangui;Yvon Bangui;CAF;yvon;bangui;CAF;;;;;2;0;;;;;;;;
Georges Gautier;Georges Gautier;CAF;georges;gautier;CAF;;;;;2;0;;;;;;;;
Tahir Hamid Nguilin;Tahir Nguilin;CAF;tahir;nguilin;CAF;;;;;0;0;;;;;;;;
Emmanuel Rocher;Emmanuel Rocher;CAF;emmanuel;rocher;CAF;;;;;0;0;;;;;;;;
Allamine Bourma Treye;Allamine Treye;CAF;allamine;treye;CAF;;;;;0;0;;;;;;;;
Gervais-Magloire Doungoupou;Gervais Doungoupou;CAF;gervais;doungoupou;CAF;;;;;0;0;;;;;;;;
Pascal Fourcaut;Pascal Fourcaut;CAF;pascal;fourcaut;CAF;;;;;0;0;;;;;;;;
Graham Towers;Graham Towers;CAN;graham;towers;CAN;1934;9;1954;12;2;0;1897;9;2;Gill University;;;Canada;Montreal
Louis Rasminsky;Louis Rasminsky;CAN;louis;rasminsky;CAN;1961;7;1973;2;2;0;1908;2;2;London School of Economics;;;Canada;Montreal
James Coyne;James Coyne;CAN;james;coyne;CAN;;;;;0;0;;;;;;;;
James Coyne;James Coyne;CAN;james;coyne;CAN;;;;;2;0;;;;;;;;
Gerald Bouey;Gerald Reapp;CAN;gerald;reapp;CAN;;;;;2;0;;;;;;;;
Gilles Loiselle;Gilles Loiselle;CAN;gilles;loiselle;CAN;1988;11;1993;10;0;0;1929;5;;;;;Canada;Ville-Marie
Bernard Bonin;Bernard Bonin;CAN;bernard;bonin;CAN;;;;;1;0;;;;;;;;
John Crow;John Crow;CAN;john;crow;CAN;1987;2;1994;2;2;0;1937;1;2;Balliol College;;;Roman Empire;London
John Crow;John Crow;CAN;john;crow;CAN;1987;2;1994;2;2;0;1937;1;2;Balliol College;;;Roman Empire;London
"Paul Martin
";Paul Martin;CAN;paul;martin;CAN;1988;11;1993;10;0;0;1938;8;3;"University of; Ottawa University of Toronto";;;Canada;Windsor
Gordon Thiessen;Gordon Thiessen;CAN;gordon;thiessen;CAN;1994;2;2001;1;2;0;1938;8;2;"University of; London School of Economics";;;Canada;Ontario
Monique Jeromeforget;Monique Jeromeforget;CAN;monique;jeromeforget;CAN;;;;;0;1;;;;;;;;
John Horsley Palmer;John Palmer;CAN;john;palmer;CAN;;;;;2;0;;;;;;;;
David A. Dodge;David Dodge;CAN;david;dodge;CAN;;;;;2;0;;;;;;;;
Malcolm Knight;Malcolm Knight;CAN;malcolm;knight;CAN;;;;;1;0;1944;4;3;London School of Economics;;;Canada;Windsor
Daniel Johnson;Daniel Johnson;CAN;daniel;johnson;CAN;;;;;0;0;;;;;;;;
Bonnie DuPont;Bonnie Dupont;CAN;bonnie;dupont;CAN;;;;;0;1;;;;;;;;
Pierre Duguay;Pierre Duguay;CAN;pierre;duguay;CAN;;;;;2;0;;;;;;;;
David Laidley;David Laidley;CAN;david;laidley;CAN;;;;;0;0;;;;;;;;
"Ralph Goodale
";Ralph Goodale;CAN;ralph;goodale;CAN;1974;7;1979;5;0;0;1949;10;3;"University of; Regina University of Saskatchewan";;;Canada;Regina
"Jim Flaherty
";Jim Flaherty;CAN;jim;flaherty;CAN;2006;1;2008;10;0;0;1949;12;3;"University; York University";;;Canada;Lachine
"John Manley
";John Manley;CAN;john;manley;CAN;1988;11;1993;10;0;0;1950;1;2;;;;Canada;Ottawa
William Black;William Black;CAN;william;black;CAN;;;;;0;0;1951;9;2;Arbor University of California;;;United States;Dearborn
Paul Haggis;Paul Haggis;CAN;paul;haggis;CAN;;;;;0;0;1953;3;1;;;;Canada;London
Graeme Thompson;Graeme Thompson;CAN;graeme;thompson;CAN;;;;;1;0;;;;;;;;
Nicholas Pan;Nicholas Pan;CAN;nicholas;pan;CAN;;;;;1;0;;;;;;;;
Norman Betts;Norman Betts;CAN;norman;betts;CAN;;;;;0;0;1954;4;2;Queen's University;;;Canada;Doaktown
Stephen Poloz;Stephen Poloz;CAN;stephen;poloz;CAN;2013;6;2020;6;2;0;1956;1;2;;;;Canada;Oshawa
Sheryl Kennedy;Sheryl Kennedy;CAN;sheryl;kennedy;CAN;;;;;1;1;;;2;Oakland University;;;;
Timothy Lane;Timothy Lane;CAN;timothy;lane;CAN;;;;;1;0;;;;;;;;
Jean Simon;Jean Simon;CAN;jean;simon;CAN;;;;;0;0;;;;;;;;
Monique Mercier;Monique Mercier;CAN;monique;mercier;CAN;;;;;0;1;;;;;;;;
Carol Hansell;Carol Hansell;CAN;carol;hansell;CAN;;;;;0;1;;;1;;;;;
Lawrence Schembri;Lawrence Schembri;CAN;lawrence;schembri;CAN;;;;;0;0;;;;;;;;
Paul Beaudry;Paul Beaudry;CAN;paul;beaudry;CAN;;;;;1;0;1960;3;6;;;Princeton University;Canada;Montreal
Tiff Macklem;Tiff Macklem;CAN;tiff;macklem;CAN;2020;6;;;0;0;1961;;6;;;;Canada;Montreal
Lynn Patterson;Lynn Patterson;CAN;lynn;patterson;CAN;;;;;0;1;;;;;;;;
Tiff Macklem;Tiff Macklem;CAN;tiff;macklem;CAN;2020;6;;;2;0;1961;;6;;;;Canada;Montreal
Tiff Macklen;Tiff Macklen;CAN;tiff;macklen;CAN;;;;;0;0;;;;;;;;
Bill Morneau;Bill Morneau;CAN;bill;morneau;CAN;2015;10;2019;10;0;0;1962;10;4;;"University of; London School of Economics; INSEAD";;Canada;Toronto
Mark J. Carney;Mark Carney;CAN;mark;carney;CAN;2008;2;2013;6;2;0;1965;3;2;;;;Canada;Fort Smith
Peter Dhillon;Peter Dhillon;CAN;peter;dhillon;CAN;;;;;0;0;;;;;;;;
Paul Jenkins;Paul Jenkins;CAN;paul;jenkins;CAN;;;;;1;0;;;;;;;;
Stephanie Bowman;Stephanie Bowman;CAN;stephanie;bowman;CAN;;;;;0;1;;;;;;;;
Chrystia Freeland;Chrystia Freeland;CAN;chrystia;freeland;CAN;2013;11;2015;10;0;1;1968;8;3;Antony's College;;;Canada;Peace River
Carolyn Rogers;Carolyn Rogers;CAN;carolyn;rogers;CAN;;;;;1;1;;;;;;;;
Jean Boivin;Jean Boivin;CAN;jean;boivin;CAN;;;;;0;0;;;;;;;;
Sharon Kozicki;Sharon Kozicki;CAN;sharon;kozicki;CAN;;;;;1;1;;;;;;;;
Charles Freedman;Charles Freedman;CAN;charles;freedman;CAN;;;;;2;0;;;;;;;;
Tim E. Noël;Tim Noel;CAN;tim;noel;CAN;;;;;1;0;;;;;;;;
Malcom Knight;Malcom Knight;CAN;malcom;knight;CAN;;;;;2;0;;;;;;;;
David Longworth;David Longworth;CAN;david;longworth;CAN;;;;;1;0;;;;;;;;
Phillip Deck;Phillip Deck;CAN;phillip;deck;CAN;;;;;0;0;;;;;;;;
Jock Finlayson;Jock Finlayson;CAN;jock;finlayson;CAN;;;;;0;0;;;;;;;;
Richard Mcgaw;Richard Mcgaw;CAN;richard;mcgaw;CAN;;;;;0;0;;;;;;;;
Agathe Coté;Agathe Cote;CAN;agathe;cote;CAN;;;;;2;1;;;;;;;;
Phyllis Clark;Phyllis Clark;CAN;phyllis;clark;CAN;;;;;0;1;;;;;;;;
Colin Dodds;Colin Dodds;CAN;colin;dodds;CAN;;;;;0;0;;;;;;;;
Wes Scott;Wes Scott;CAN;wes;scott;CAN;;;;;0;0;;;;;;;;
Sylvain Leduc;Sylvain Leduc;CAN;sylvain;leduc;CAN;;;;;1;0;;;;;;;;
Robert M. Campbell;Robert Campbell;CAN;robert;campbell;CAN;;;;;0;0;;;;;;;;
Nicolas Vincent;Nicolas Vincent;CAN;nicolas;vincent;CAN;;;;;1;0;1769;4;;;;;Canada;Quebec City
Sandra L. Hanington;Sandra Hanington;CAN;sandra;hanington;CAN;;;;;0;1;;;;;;;;
Heinrich Kundert;Heinrich Kundert;CHE;heinrich;kundert;CHE;;;;;2;0;;;;;;;;
August Burckhardt;August Burckhardt;CHE;august;burckhardt;CHE;;;;;2;0;;;;;;;;
Rodolphe de Haller;Rodolphe Haller;CHE;rodolphe;haller;CHE;;;;;1;0;;;;;;;;
Charles Schnyder von Wartensee;Charles Wartensee;CHE;charles;wartensee;CHE;;;;;1;0;;;;;;;;
Gottlieb Bachmann;Gottlieb Bachmann;CHE;gottlieb;bachmann;CHE;;;;;2;0;;;;;;;;
Ernst Weber;Ernst Weber;CHE;ernst;weber;CHE;;;;;2;0;;;;;;;;
Paul Rossy;Paul Rossy;CHE;paul;rossy;CHE;;;;;1;0;;;;;;;;
Paul Keller;Paul Keller;CHE;paul;keller;CHE;;;;;2;0;1966;1;;;;;United States;Everett
Dr. Walter Schwegler;Walter Schwegler;CHE;walter;schwegler;CHE;;;;;2;0;;;;;;;;
Dr. Edwin Stopper;Edwin Stopper;CHE;edwin;stopper;CHE;;;;;2;0;;;;;;;;
Dr. h.c. Pierre Languetin;Pierre Languetin;CHE;pierre;languetin;CHE;;;;;2;0;;;;;;;;
Peter Gerber;Peter Gerber;CHE;peter;gerber;CHE;;;;;0;0;;;;;;;;
Fritz Leutwiler;Fritz Leutwiler;CHE;fritz;leutwiler;CHE;;;;;2;0;1924;7;;;;;Switzerland;Baden
Dr. Markus Lusser;Markus Lusser;CHE;markus;lusser;CHE;;;;;0;0;;;;;;;;
Dr. Markus Lusser;Markus Lusser;CHE;markus;lusser;CHE;;;;;2;0;;;;;;;;
Kurt Hauri;Kurt Hauri;CHE;kurt;hauri;CHE;;;;;0;0;;;;;;;;
Dr. Hans Meyer;Hans Meyer;CHE;hans;meyer;CHE;;;;;2;0;;;;;;;;
Kathi Bangerter;Kathi Bangerter;CHE;kathi;bangerter;CHE;;;;;0;1;;;;;;;;
Henri Andre;Henri Andre;CHE;henri;andre;CHE;;;;;0;0;;;;;;;;
George Rich;George Rich;CHE;george;rich;CHE;;;;;0;0;1863;5;1;;;;Australia;Braidwood
Ueli Forster;Ueli Forster;CHE;ueli;forster;CHE;;;;;0;0;1939;10;2;;;;Switzerland;St. Gallen
Yvette Jaggi;Yvette Jaggi;CHE;yvette;jaggi;CHE;1987;11;1991;11;0;1;1941;2;2;;;;Switzerland;Lausanne
Eduard Belser;Eduard Belser;CHE;eduard;belser;CHE;;;;;0;0;;;;;;;;
Ulrich Kohli;Ulrich Kohli;CHE;ulrich;kohli;CHE;;;;;0;0;;;;;;;;
Philippe Pidoux;Philippe Pidoux;CHE;philippe;pidoux;CHE;;;;;0;0;;;;;;;;
Niklaus Blattner;Niklaus Blattner;CHE;niklaus;blattner;CHE;;;;;2;0;;;;;;;;
Niklaus Blattner;Niklaus Blattner;CHE;niklaus;blattner;CHE;;;;;0;0;;;;;;;;
Werner Messmer;Werner Messmer;CHE;werner;messmer;CHE;;;;;0;0;;;;;;;;
Dr. Jean-Pierre Roth;Jean Roth;CHE;jean;roth;CHE;;;;;2;0;1924;3;;;;;France;Le Havre
Franz Marty;Franz Marty;CHE;franz;marty;CHE;;;;;0;0;;;;;;;;
Ruth Luthi;Ruth Luthi;CHE;ruth;luthi;CHE;1988;;1991;;0;1;1947;9;2;;;;Switzerland;Grenchen
Hans Ulrich Raggenbass;Hans Raggenbass;CHE;hans;raggenbass;CHE;;;;;0;0;;;;;;;;
Gerold Buhrer;Gerold Buhrer;CHE;gerold;buhrer;CHE;1991;11;2007;12;0;0;1948;6;;;;;Switzerland;Hofen
Alfredo Gysi;Alfredo Gysi;CHE;alfredo;gysi;CHE;;;;;0;0;;;;;;;;
Jean-Pierre Danthine;Jean Danthine;CHE;jean;danthine;CHE;;;;;2;0;;;;;;;;
Konrad Hummler;Konrad Hummler;CHE;konrad;hummler;CHE;;;;;0;0;1953;3;4;;"University of; Zurich University of Rochester";;Switzerland;St. Gallen
Rita Fuhrer;Rita Fuhrer;CHE;rita;fuhrer;CHE;;;;;0;1;;;;;;;;
Serge Gaillard;Serge Gaillard;CHE;serge;gaillard;CHE;;;;;0;0;;;;;;;;
Olivier Steimber;Olivier Steimber;CHE;olivier;steimber;CHE;;;;;0;0;;;;;;;;
Ernst Stocker;Ernst Stocker;CHE;ernst;stocker;CHE;;;;;0;0;;;;;;;;
Eveline Widmer Schlumpf;Eveline Schlumpf;CHE;eveline;schlumpf;CHE;2008;1;2015;12;0;1;1956;3;2;;;;Switzerland;Felsberg
Jean Studer;Jean Studer;CHE;jean;studer;CHE;;;;;0;0;1914;9;;;;;Switzerland;Biel/Bienne
Martin Kraenzlin;Martin Kraenzlin;CHE;martin;kraenzlin;CHE;;;;;0;0;;;;;;;;
Marina Masoni;Marina Masoni;CHE;marina;masoni;CHE;;;;;0;1;;;;;;;;
Christoph Lengwiler;Christoph Lengwiler;CHE;christoph;lengwiler;CHE;;;;;0;0;;;;;;;;
Heinz Karrer;Heinz Karrer;CHE;heinz;karrer;CHE;;;;;0;0;1959;5;;;;;Switzerland;Winterthur
Christoph Mäder;Christoph Mader;CHE;christoph;mader;CHE;;;;;0;0;;;;;;;;
Dewet Moser;Dewet Moser;CHE;dewet;moser;CHE;;;;;0;0;;;;;;;;
Simonetta Sommaruga;Simonetta Sommaruga;CHE;simonetta;sommaruga;CHE;2010;11;2022;12;0;1;1960;5;2;Lucerne University;;;Switzerland;Zug
Shelby Pasquier;Shelby Pasquier;CHE;shelby;pasquier;CHE;;;;;0;0;;;;;;;;
Fritz Zurbrügg;Fritz Zurbrugg;CHE;fritz;zurbrugg;CHE;;;;;1;0;;;;;;;;
Romeo Lacher;Romeo Lacher;CHE;romeo;lacher;CHE;;;;;1;0;;;;;;;;
Laura Sadis;Laura Sadis;CHE;laura;sadis;CHE;;;;;0;1;;;;;;;;
Monika Butler;Monika Butler;CHE;monika;butler;CHE;;;;;0;1;;;;;;;;
Rajna Gibson Brandon;Rajna Brandon;CHE;rajna;brandon;CHE;;;;;0;1;;;;;;;;
Philipp Hildebrand;Philipp Hildebrand;CHE;philipp;hildebrand;CHE;2010;;2012;1;2;0;1963;7;2;"Graduate Institute of International; University of; Lincoln College";;;Switzerland;Bern
Thomas Jordan;Thomas Jordan;CHE;thomas;jordan;CHE;;;;;2;0;;;;;;;;
Barbara Janom;Barbara Janom;CHE;barbara;janom;CHE;;;;;0;1;;;;;;;;
Barbara Steiner;Barbara Steiner;CHE;barbara;steiner;CHE;;;;;0;1;1964;;2;;;;Austria;Dörfles
Renaud de Planta;Renaud Planta;CHE;renaud;planta;CHE;;;;;0;0;1963;11;;;;;Switzerland;Geneva
Daniel Lampart;Daniel Lampart;CHE;daniel;lampart;CHE;;;;;0;0;;;;;;;;
Andrea Maechler;Andrea Maechler;CHE;andrea;maechler;CHE;;;;;0;0;1969;1;1;;;;Switzerland;Geneva
Vania Alleva;Vania Alleva;CHE;vania;alleva;CHE;;;;;0;1;;;;;;;;
Antoine Martin;Antoine Martin;CHE;antoine;martin;CHE;;;;;1;0;;;;;;;;
Christoph Ammann;Christoph Ammann;CHE;christoph;ammann;CHE;;;;;1;0;;;;;;;;
Cedric Tille;Cedric Tille;CHE;cedric;tille;CHE;;;;;0;0;;;;;;;;
Angelo Ranaldo;Angelo Ranaldo;CHE;angelo;ranaldo;CHE;;;;;0;0;;;;;;;;
Thomas Wiedmer;Thomas Wiedmer;CHE;thomas;wiedmer;CHE;;;;;0;0;;;;;;;;
Christian Vitta;Christian Vitta;CHE;christian;vitta;CHE;;;;;0;0;;;;;;;;
Martin Schlegel;Martin Schlegel;CHE;martin;schlegel;CHE;2022;5;2024;9;1;0;1976;8;6;;;"University of; Zurich University of Basel";;
Martin Schlegel;Martin Schlegel;CHE;martin;schlegel;CHE;2024;10;;;0;0;1976;8;6;;;"University of; Zurich University of Basel";;
Thomas Moser;Thomas Moser;CHE;thomas;moser;CHE;;;;;0;0;1945;5;1;;;;United States;Richmond
Rosmarie Schlup;Rosmarie Schlup;CHE;rosmarie;schlup;CHE;;;;;1;1;;;;;;;;
Michel Peytrignet;Michel Peytrignet;CHE;michel;peytrignet;CHE;;;;;0;0;;;;;;;;
Alexander Swoboda;Alexander Swoboda;CHE;alexander;swoboda;CHE;;;;;0;0;;;;;;;;
Armin Jans;Armin Jans;CHE;armin;jans;CHE;;;;;0;0;;;;;;;;
Petra Tschudin;Petra Tschudin;CHE;petra;tschudin;CHE;;;;;1;1;;;;;;;;
Manuel Trucco Franzani;Manuel Franzani;CHL;manuel;franzani;CHL;;;;;2;0;;;;;;;;
Sergio Molina Silva;Sergio Silva;CHL;sergio;silva;CHL;;;;;2;0;;;;;;;;
Carlos Matus Romo;Carlos Romo;CHL;carlos;romo;CHL;;;;;0;0;1966;10;;;;;;
Carlos Massad Abud;Carlos Abud;CHL;carlos;abud;CHL;;;;;2;0;;;;;;;;
Carlos Massad;Carlos Massad;CHL;carlos;massad;CHL;1967;;1970;;2;0;1932;8;3;;;;Chile;Santiago
Carlos Rodriguez;Carlos Rodriguez;CHL;carlos;rodriguez;CHL;;;;;2;0;;;;;;;;
Andrés Bianchi Larre;Andres Larre;CHL;andres;larre;CHL;;;;;2;0;;;;;;;;
María Elena Ovalle;Maria Ovalle;CHL;maria;ovalle;CHL;;;;;0;1;;;;;;;;
Alvaro Bardón Muñoz;Alvaro Munoz;CHL;alvaro;munoz;CHL;;;;;2;0;;;;;;;;
Carlos Cáceres Contreras;Carlos Contreras;CHL;carlos;contreras;CHL;;;;;2;0;;;;;;;;
Vittorio Corbo Lioi;Vittorio Lioi;CHL;vittorio;lioi;CHL;;;;;0;0;;;;;;;;
Stephany Griffithjones;Stephany Griffithjones;CHL;stephany;griffithjones;CHL;;;;;0;1;;;;;;;;
Stephany Griffithjones;Stephany Griffithjones;CHL;stephany;griffithjones;CHL;;;;;1;1;;;;;;;;
Miguel Kast Rist;Miguel Rist;CHL;miguel;rist;CHL;;;;;2;0;;;;;;;;
Roberto Zahler Mayanz;Roberto Mayanz;CHL;roberto;mayanz;CHL;;;;;2;0;;;;;;;;
