PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Grégoire Banyiyezako;Gregoire Banyiyezako;BDI;gregoire;banyiyezako;BDI;;;;;2;0;;;;;;;;
Gaspard Sindayigaya;Gaspard Sindayigaya;BDI;gaspard;sindayigaya;BDI;;;;;2;0;;;;;;;;
Bonaventure Kidwingira;Bonaventure Kidwingira;BDI;bonaventure;kidwingira;BDI;;;;;2;0;;;;;;;;
Elisee Ntahonikora;Elisee Ntahonikora;BDI;elisee;ntahonikora;BDI;;;;;2;0;;;;;;;;
Aloys Ntahonkiriye;Aloys Ntahonkiriye;BDI;aloys;ntahonkiriye;BDI;;;;;2;0;;;;;;;;
Isaac Budabuda;Isaac Budabuda;BDI;isaac;budabuda;BDI;;;;;2;0;;;;;;;;
Mathias Sinamenye;Mathias Sinamenye;BDI;mathias;sinamenye;BDI;1998;6;2001;11;2;0;;;;;;;;
Gabriel Ntisezerana;Gabriel Ntisezerana;BDI;gabriel;ntisezerana;BDI;2007;2;2010;8;2;0;;;;;;;;
Isaac Bizimana;Isaac Bizimana;BDI;isaac;bizimana;BDI;;;;;2;0;;;;;;;;
Jean Ciza;Jean Ciza;BDI;jean;ciza;BDI;;;;;2;0;;;;;;;;
Édouard Normand Bigendako;Edouard Bigendako;BDI;edouard;bigendako;BDI;;;;;2;0;;;;;;;;
Maurice Frère ;Maurice Frere;BEL;maurice;frere;BEL;1944;;1957;;2;0;1890;8;;;;;Belgium;
Hubert Ansiaux;Hubert Ansiaux;BEL;hubert;ansiaux;BEL;1957;;1971;;2;0;1908;11;;;;;Belgium;Ixelles
Robert Vandeputte;Robert Vandeputte;BEL;robert;vandeputte;BEL;1971;;1975;;2;0;1908;2;;;;;Belgium;Antwerp
Baron Cecil de Strycker;Cecil Strycker;BEL;cecil;strycker;BEL;;;;;2;0;;;;;;;;
Baron Jean Godeaux;Jean Godeaux;BEL;jean;godeaux;BEL;1982;;1989;;2;0;1922;7;;;;;Belgium;Jemeppe-sur-Meuse
Viscount Alfons Verplaetse;Alfons Verplaetse;BEL;alfons;verplaetse;BEL;1989;7;1999;2;2;0;1930;2;1;;;;Belgium;Zulte
Viscount Alfons Verplaetse;Alfons Verplaetse;BEL;alfons;verplaetse;BEL;1989;7;1999;2;2;0;1930;2;1;;;;Belgium;Zulte
Rik Branson;Rik Branson;BEL;rik;branson;BEL;;;;;0;0;;;;;;;;
Guy Quaden;Guy Quaden;BEL;guy;quaden;BEL;1999;;2011;;2;0;1945;8;1;;;;Belgium;Liège
Luc Coene;Luc Coene;BEL;luc;coene;BEL;2011;;2015;;2;0;1947;3;1;;;;Belgium;Ghent
Peter Praet;Peter Praet;BEL;peter;praet;BEL;;;;;0;0;1949;1;2;;;;Germany;Herchen
Peter Praet;Peter Praet;BEL;peter;praet;BEL;;;;;0;0;1949;1;2;;;;Germany;Herchen
Gerald Frère;Gerald Frere;BEL;gerald;frere;BEL;;;;;0;0;1951;5;;;;;Belgium;
