PName_original,PName,iso3,first,last,iso3Birth,Start_year,End_year,Start_month,End_month,Position,Sex,Birth_year,Education,BA_or_MA,MBA,PhD,CountryBirth,CityBirth,name
Abdyl Këllezi,Abdyl Kellezi,ALB,abdyl,kellezi,ALB,,,,,President / Governor,0.0,,,,,,,,Abdyl Kellezi
Qirjako Mihali,Qirjako Mihali,ALB,qirjako,mihali,ALB,,,,,President / Governor,0.0,,,,,,,,Qirjako Mihali
Kostaq Postoli,Kostaq Postoli,ALB,kostaq,postoli,ALB,,,,,President / Governor,0.0,,,,,,,,Kostaq Postoli
Andrea Nako,Andrea Nako,ALB,andrea,nako,ALB,,,,,President / Governor,0.0,,,,,,,,Andrea Nako
Niko Gjyzari,Niko Gjyzari,ALB,niko,gjyzari,ALB,,,,,President / Governor,0.0,,,,,,,,Niko Gjyzari
Dylber Vrioni,Dylber Vrioni,ALB,dylber,vrioni,ALB,,,,,President / Governor,0.0,,,,,,,,Dylber Vrioni
Ksenofon Krisafi,Ksenofon Krisafi,ALB,ksenofon,krisafi,ALB,,,,,Board member,0.0,,,,,,,,Ksenofon Krisafi
Sulo Hadëri,Sulo Haderi,ALB,sulo,haderi,ALB,,,,,Board member,0.0,,,,,,,,Sulo Haderi
Ardian Fullani,Ardian Fullani,ALB,ardian,fullani,ALB,,,,,President / Governor,0.0,,,,,,,,Ardian Fullani
Shkëlqim Cani,Shklqim Cani,ALB,shklqim,cani,ALB,,,,,President / Governor,0.0,,,,,,,,Shklqim Cani
Anastas Angjeli,Anastas Angjeli,ALB,anastas,angjeli,ALB,,,,,Board member,0.0,,,,,,,,Anastas Angjeli
Ilir Hoti,Ilir Hoti,ALB,ilir,hoti,ALB,,,,,President / Governor,0.0,,,,,,,,Ilir Hoti
Ermelinda Meksi,Ermelinda Meksi,ALB,ermelinda,meksi,ALB,,,,,Board member,1.0,,,,,,,,Ermelinda Meksi
Tonin Kola,Tonin Kola,ALB,tonin,kola,ALB,,,,,Board member,0.0,,,,,,,,Tonin Kola
Fatos Ibrahimi,Fatos Ibrahimi,ALB,fatos,ibrahimi,ALB,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Fatos Ibrahimi
Petraq Milo,Petraq Milo,ALB,petraq,milo,ALB,,,,,Board member,0.0,,,,,,,,Petraq Milo
Luljeta Minxhozi,Luljeta Minxhozi,ALB,luljeta,minxhozi,ALB,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Luljeta Minxhozi
Drini Salko,Drini Salko,ALB,drini,salko,ALB,,,,,Board member,0.0,,,,,,,,Drini Salko
Tonin Kola,Tonin Kola,ALB,tonin,kola,ALB,,,,,Board member,0.0,,,,,,,,Tonin Kola
Bajram Muça,Bajram Muca,ALB,bajram,muca,ALB,,,,,Board member,0.0,,,,,,,,Bajram Muca
Arjan Kadareja,Arjan Kadareja,ALB,arjan,kadareja,ALB,,,,,Board member,0.0,,,,,,,,Arjan Kadareja
Arben Malaj,Arben Malaj,ALB,arben,malaj,ALB,,,,,Board member,0.0,,,,,,,,Arben Malaj
Kristaq Luniku,Kristaq Luniku,ALB,kristaq,luniku,ALB,,,,,President / Governor,0.0,,,,,,,,Kristaq Luniku
Benet Beci,Benet Beci,ALB,benet,beci,ALB,,,,,President / Governor,0.0,,,,,,,,Benet Beci
Gent Sejko,Gent Sejko,ALB,gent,sejko,ALB,,,,,President / Governor,0.0,,,,,,,,Gent Sejko
Elisabeta Gjoni,Elisabeta Gjoni,ALB,elisabeta,gjoni,ALB,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Elisabeta Gjoni
Natasha Ahmetaj,Natasha Ahmetaj,ALB,natasha,ahmetaj,ALB,,,,,Board member,1.0,,,,,,,,Natasha Ahmetaj
Andis Harasani,Andis Harasani,ALB,andis,harasani,ALB,,,,,Board member,0.0,,,,,,,,Andis Harasani
Luljeta Minxhozi,Luljeta Minxhozi,ALB,luljeta,minxhozi,ALB,,,,,Vice-president / Deputy-governor,1.0,,,,,,,,Luljeta Minxhozi
Zeqir Lika,Zeqir Lika,ALB,zeqir,lika,ALB,,,,,President / Governor,0.0,,,,,,,,Zeqir Lika
Llazar Gjika,Llazar Gjika,ALB,llazar,gjika,ALB,,,,,President / Governor,0.0,,,,,,,,Llazar Gjika
Kamber Myftari,Kamber Myftari,ALB,kamber,myftari,ALB,,,,,President / Governor,0.0,,,,,,,,Kamber Myftari
Qamil Tusha,Qamil Tusha,ALB,qamil,tusha,ALB,,,,,President / Governor,0.0,,,,,,,,Qamil Tusha
Dhame Pite,Dhame Pite,ALB,dhame,pite,ALB,,,,,Board member,0.0,,,,,,,,Dhame Pite
Llazi Balliu,Llazi Balliu,ALB,llazi,balliu,ALB,,,,,Board member,0.0,,,,,,,,Llazi Balliu
Tefta Çuçi,Tefta Cuci,ALB,tefta,cuci,ALB,,,,,Board member,1.0,,,,,,,,Tefta Cuci
Limos Malaj,Limos Malaj,ALB,limos,malaj,ALB,,,,,Board member,0.0,,,,,,,,Limos Malaj
Halit Xhafa,Halit Xhafa,ALB,halit,xhafa,ALB,,,,,Board member,0.0,,,,,,,,Halit Xhafa
Ela Golemi,Ela Golemi,ALB,ela,golemi,ALB,,,,,Board member,1.0,,,,,,,,Ela Golemi
Elisabeta Gjoni,Elisabeta Gjoni,ALB,elisabeta,gjoni,ALB,,,,,President / Governor,1.0,,,,,,,,Elisabeta Gjoni
Denada Prifti,Denada Prifti,ALB,denada,prifti,ALB,,,,,Board member,1.0,,,,,,,,Denada Prifti
E.D. Tromp,Emsley Tromp,ANT,emsley,tromp,ANT,,,,,President / Governor,0.0,,,,,,,,Emsley Tromp
J.G.J. van Delden,Antoine Delden,ANT,antoine,delden,ANT,,,,,President / Governor,0.0,,,,,,,,Antoine Delden
P.C. Timmermans,Henri Timmermans,ANT,henri,timmermans,ANT,,,,,President / Governor,0.0,,,,,,,,Henri Timmermans
V.A. Servage,Hans Servage,ANT,hans,servage,ANT,,,,,President / Governor,0.0,,,,,,,,Hans Servage
L. Wong,Frank Wong,ANT,frank,wong,ANT,,,,,President / Governor,0.0,,,,,,,,Frank Wong
Alberto Romero,Jose Romero,ANT,jose,romero,ANT,,,,,President / Governor,0.0,,,,,,,,Jose Romero
Juma Al Majid,Juma Majid,ARE,juma,majid,ARE,,,,,Board member,0.0,,,,,,,,Juma Majid
Khalil Mohammed Sharif Foulathi,Khalil Foulathi,ARE,khalil,foulathi,ARE,,,,,Board member,0.0,,,,,,,,Khalil Foulathi
Sultan Alsuwaidi,Sultan Alsuwaidi,ARE,sultan,alsuwaidi,UAE,,,,,President / Governor,0.0,,,,,,,,Sultan Alsuwaidi
Abdulhamid Saeed Alahmadi,Abdulhamid Alahmadi,ARE,abdulhamid,alahmadi,ARE,,,,,President / Governor,0.0,,,,,,,,Abdulhamid Alahmadi
Khaled Mohammed Salem Balama Al Tameemi,Khaled Tameemi,ARE,khaled,tameemi,ARE,,,,,President / Governor,0.0,,,,,,,,Khaled Tameemi
Mubarak Rashed Al Mansoori,Mubarak Mansoori,ARE,mubarak,mansoori,ARE,,,,,President / Governor,0.0,,,,,,,,Mubarak Mansoori
Omar Mohammed Ahmed Bin Sulaiman,Omar Sulaiman,ARE,omar,sulaiman,ARE,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Omar Sulaiman
Khalid Ahmed Altayer,Khalid Altayer,ARE,khalid,altayer,ARE,,,,,Board member,0.0,,,,,,,,Khalid Altayer
Hamad Buamim,Hamad Buamim,ARE,hamad,buamim,ARE,,,,,Board member,0.0,,,,,,,,Hamad Buamim
Ronald Scott,Ronald Scott,ARE,ronald,scott,ARE,,,,,President / Governor,0.0,,,,,,,,Ronald Scott
Abdelmalik al-Hamar,Abdelmalik Alhamar,ARE,abdelmalik,alhamar,ARE,,,,,President / Governor,0.0,,,,,,,,Abdelmalik Alhamar
Abdelmalik al-Hamar,Abdelmalik Alhamar,ARE,abdelmalik,alhamar,ARE,,,,,President / Governor,0.0,,,,,,,,Abdelmalik Alhamar
Sultan Bin Nasser Al-Suwaidi,Bin Alsuwaidi,ARE,bin,alsuwaidi,ARE,,,,,President / Governor,0.0,,,,,,,,Bin Alsuwaidi
Khalifa Nasser Bin Huwaileel,Khalifa Huwaileel,ARE,khalifa,huwaileel,ARE,,,,,Board member,0.0,,,,,,,,Khalifa Huwaileel
Saeed Rashid Alyateem Almuhairy,Saeed Almuhairy,ARE,saeed,almuhairy,ARE,,,,,Board member,0.0,,,,,,,,Saeed Almuhairy
Younis Haji  Khoori,Younis Khoori,ARE,younis,khoori,ARE,,,,,Board member,0.0,,,,,,,,Younis Khoori
Edelmiro Farrell,Edelmiro Farrell,ARG,edelmiro,farrell,ARG,,,,,President / Governor,0.0,,,,,,,,Edelmiro Farrell
Juan Peron,Juan Peron,ARG,juan,peron,ARG,,,,,President / Governor,0.0,,,,,,,,Juan Peron
Juan Peron,Juan Peron,ARG,juan,peron,ARG,,,,,President / Governor,0.0,,,,,,,,Juan Peron
Juan Peron,Juan Peron,ARG,juan,peron,ARG,,,,,President / Governor,0.0,,,,,,,,Juan Peron
Juan Peron,Juan Peron,ARG,juan,peron,ARG,,,,,President / Governor,0.0,,,,,,,,Juan Peron
Eduardo Longardi,Eduardo Longardi,ARG,eduardo,longardi,ARG,,,,,President / Governor,0.0,,,,,,,,Eduardo Longardi
Arturo Ilia,Arturo Ilia,ARG,arturo,ilia,ARG,,,,,President / Governor,0.0,,,,,,,,Arturo Ilia
Pedro Eugenio Aramburu,Pedro Aramburu,ARG,pedro,aramburu,ARG,,,,,President / Governor,0.0,,,,,,,,Pedro Aramburu
Alfredo Gomez Morales,Alfredo Morales,ARG,alfredo,morales,ARG,,,,,President / Governor,0.0,,,,,,,,Alfredo Morales
Arthur Frondizi,Arthur Frondizi,ARG,arthur,frondizi,ARG,,,,,President / Governor,0.0,,,,,,,,Arthur Frondizi
Hector Campora,Hector Campora,ARG,hector,campora,ARG,,,,,President / Governor,0.0,,,,,,,,Hector Campora
Jose Maria Guido,Jose Guido,ARG,jose,guido,ARG,,,,,President / Governor,0.0,,,,,,,,Jose Guido
Jorge Bermudez Emparanza,Jorge Emparanza,ARG,jorge,emparanza,ARG,,,,,President / Governor,0.0,,,,,,,,Jorge Emparanza
Juan Carlos Ongania,Juan Ongania,ARG,juan,ongania,ARG,,,,,President / Governor,0.0,,,,,,,,Juan Ongania
Mondelli,* Mondelli,ARG,*,mondelli,ARG,,,,,President / Governor,0.0,,,,,,,,* Mondelli
Gonzalez del Solar,Gonzalez Solar,ARG,gonzalez,solar,ARG,,,,,President / Governor,0.0,,,,,,,,Gonzalez Solar
Garcia Vazquez,Garcia Vazquez,ARG,garcia,vazquez,ARG,,,,,President / Governor,0.0,,,,,,,,Garcia Vazquez
Ricardo Gruneisen,Ricardo Gruneisen,ARG,ricardo,gruneisen,ARG,,,,,President / Governor,0.0,,,,,,,,Ricardo Gruneisen
Alejandro Lanusse,Alejandro Lanusse,ARG,alejandro,lanusse,ARG,,,,,President / Governor,0.0,,,,,,,,Alejandro Lanusse
Roberto M. Levingston,Roberto Levingston,ARG,roberto,levingston,ARG,,,,,President / Governor,0.0,,,,,,,,Roberto Levingston
Ricardo A. Cairoli,Ricardo Cairoli,ARG,ricardo,cairoli,ARG,,,,,President / Governor,0.0,,,,,,,,Ricardo Cairoli
Ianella,* Ianella,ARG,*,ianella,ARG,,,,,President / Governor,0.0,,,,,,,,* Ianella
Jorge Videla,Jorge Videla,ARG,jorge,videla,ARG,,,,,President / Governor,0.0,,,,,,,,Jorge Videla
Leopoldo Galtieri,Leopoldo Galtieri,ARG,leopoldo,galtieri,ARG,,,,,President / Governor,0.0,,,,,,,,Leopoldo Galtieri
Raul Alfonsin,Raul Alfonsin,ARG,raul,alfonsin,ARG,,,,,President / Governor,0.0,,,,,,,,Raul Alfonsin
Zalduendo,* Zalduendo,ARG,*,zalduendo,ARG,,,,,President / Governor,0.0,,,,,,,,* Zalduendo
Reynaldo Bignone,Reynaldo Bignone,ARG,reynaldo,bignone,ARG,,,,,President / Governor,0.0,,,,,,,,Reynaldo Bignone
Hernán n Aldabe,Hernan Aldabe,ARG,hernan,aldabe,ARG,,,,,President / Governor,0.0,,,,,,,,Hernan Aldabe
Carlos Menem,Carlos Menem,ARG,carlos,menem,ARG,,,,,President / Governor,0.0,,,,,,,,Carlos Menem
Isabel Peron,Isabel Peron,ARG,isabel,peron,ARG,,,,,President / Governor,0.0,,,,,,,,Isabel Peron
Diz,Adolfo Diz,ARG,adolfo,diz,ARG,,,,,President / Governor,0.0,,,,,,,,Adolfo Diz
Maccarone,Roque Maccarone,ARG,roque,maccarone,ARG,,,,,President / Governor,0.0,,,,,,,,Roque Maccarone
Rossi,* Rossi,ARG,*,rossi,ARG,,,,,President / Governor,0.0,,,,,,,,* Rossi
Gonzalez,Antonio Gonzalez,ARG,antonio,gonzalez,ARG,,,,,President / Governor,0.0,,,,,,,,Antonio Gonzalez
Folcini,Enrique Folcini,ARG,enrique,folcini,ARG,,,,,President / Governor,0.0,,,,,,,,Enrique Folcini
Fernando de la Rúa,Fernando Rua,ARG,fernando,rua,ARG,,,,,President / Governor,0.0,,,,,,,,Fernando Rua
eduardo duhalde,Eduardo Duhalde,ARG,eduardo,duhalde,ARG,,,,,President / Governor,0.0,,,,,,,,Eduardo Duhalde
Pedro Pou,Pedro Pou,ARG,pedro,pou,ARG,,,,,President / Governor,0.0,,,,,,,,Pedro Pou
Pedro Pou,Pedro Pou,ARG,pedro,pou,ARG,,,,,President / Governor,0.0,,,,,,,,Pedro Pou
Cavallo,* Cavallo,ARG,*,cavallo,ARG,,,,,President / Governor,0.0,,,,,,,,* Cavallo
