iso3,country,name,position,start_year,end_year,status
BGD,Bangladesh,Shegufta Bakht Chaudhuri,President / Governor,1987,1992,Histórico
BGD,Bangladesh,Khorshed Alam,President / Governor,1992,1996,Histórico
BGD,Bangladesh,Lutfar Rahman Sarkar,President / Governor,1996,1998,Histórico
BGD,Bangladesh,Mohammed Farashuddin,President / Governor,1998,2001,Histórico
BGD,Bangladesh,Fakhruddin Ahmed,President / Governor,2001,2005,Histórico
BGD,Bangladesh,Salehuddin Ahmed,President / Governor,2005,2009,Histórico
BGD,Bangladesh,Atiur Rahman,President / Governor,2009,2016,Histórico
BGD,Bangladesh,Fazle Kabir,President / Governor,2016,2022,Histórico
BGD,Bangladesh,Abdur Rouf Talukder,President / Governor,2022,En cargo,Actual
BEAC,Bank of Central African States,Christian Joudiou,President / Governor,1972,1978,Histórico
BEAC,Bank of Central African States,Casimir Oye-Mba,President / Governor,1978,1990,Histórico
BEAC,Bank of Central African States,Jean-Felix Mamalepot,President / Governor,1990,2007,Histórico
BEAC,Bank of Central African States,Lucas Abaga Nchama,President / Governor,2010,2017,Histórico
BEAC,Bank of Central African States,Abbas Mahamat Tolli,President / Governor,2017,En cargo,Actual
BRB,Barbados,Courtney Blackman,President / Governor,1972,1987,Histórico
BRB,Barbados,Kurleigh King,President / Governor,1987,1992,Histórico
BRB,Barbados,Calvin Springer,President / Governor,1992,1997,Histórico
BRB,Barbados,Winston Cox,President / Governor,1997,1999,Histórico
BRB,Barbados,Marion Williams,President / Governor,1999,2009,Histórico
BRB,Barbados,Cleviston Haynes,President / Governor,2017,2023,Histórico
BRB,Barbados,Kevin Greenidge,President / Governor,2023,En cargo,Actual
BLR,Belarus,Stanislav A. Bogdankevich,President / Governor,1991,1995,Histórico
BLR,Belarus,Tamara D. Vinnikova,President / Governor,1996,1997,Histórico
BLR,Belarus,Gennady S. Aleynikov,President / Governor,1997,1998,Histórico
BLR,Belarus,Pyotr P. Prakapovich,President / Governor,1998,2011,Histórico
BLR,Belarus,Nadezhda A. Yermakova,President / Governor,2011,2014,Histórico
BLR,Belarus,Pavel V. Kallaur,President / Governor,2014,En cargo,Actual
BEL,Belgium,Hubert Ansiaux,President / Governor,1957,1971,Histórico
BEL,Belgium,Robert Vandeputte,President / Governor,1971,1975,Histórico
BEL,Belgium,Cecil de Strycker,President / Governor,1975,1982,Histórico
BEL,Belgium,Jean Godeaux,President / Governor,1982,1989,Histórico
BEL,Belgium,Alfons Verplaetse,President / Governor,1989,1999,Histórico
BEL,Belgium,Guy Quaden,President / Governor,1999,2011,Histórico
BEL,Belgium,Luc Coene,President / Governor,2011,2015,Histórico
BEL,Belgium,Jan Smets,President / Governor,2015,2019,Histórico
BEL,Belgium,Pierre Wunsch,President / Governor,2019,En cargo,Actual
BLZ,Belize,Edney Cain,President / Governor,1982,1983,Histórico
BLZ,Belize,Robert Swift,President / Governor,1983,1986,Histórico
BLZ,Belize,Alan Slusher,President / Governor,1986,1990,Histórico
BLZ,Belize,Edney Cain,President / Governor,1991,1991,Histórico
BLZ,Belize,Keith Arnold,President / Governor,1992,2002,Histórico
BLZ,Belize,Jorge Meliton Auil,President / Governor,2002,2003,Histórico
BLZ,Belize,Sydney Campbell,President / Governor,2003,2008,Histórico
BLZ,Belize,Glenford Ysaguirre,President / Governor,2008,2016,Histórico
BLZ,Belize,Amb. A. Joy Grant,President / Governor,2016,2021,Histórico
BLZ,Belize,Gustavo Manuel Vasquez,President / Governor,2021,2021,Histórico
BLZ,Belize,Kareem Michael,President / Governor,2021,2021,Histórico
