category_name;category_url
Governors of the Reserve Bank of New Zealand;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_New_Zealand
Presidents of Central Bank of Nicaragua;https://en.wikipedia.org/wiki/Category:Presidents_of_Central_Bank_of_Nicaragua
Governors of the Central Bank of Nigeria;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Nigeria
Governors of the Central Bank of Norway;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Norway
Chairmen of the Central Bank of Oman;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Oman
Governors of the State Bank of Pakistan;https://en.wikipedia.org/wiki/Category:Governors_of_the_State_Bank_of_Pakistan
Governors of the Palestine Monetary Authority;https://en.wikipedia.org/wiki/Category:Governors_of_the_Palestine_Monetary_Authority
Governors of the Bank of Papua New Guinea;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Papua_New_Guinea
Presidents of the Central Bank of Paraguay;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Paraguay
Presidents of the Central Reserve Bank of Peru;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Reserve_Bank_of_Peru
Governors of the Bangko Sentral ng Pilipinas;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bangko_Sentral_ng_Pilipinas
Governors of the National Bank of Poland;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Poland
Governors of the Bank of Portugal;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Portugal
Governors of Qatar Central Bank;https://en.wikipedia.org/wiki/Category:Governors_of_Qatar_Central_Bank
Governors of the Reserve Bank of Rhodesia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Rhodesia
Governors of the National Bank of Romania;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Romania
Governors of the Central Bank of Russia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Russia
Governors of the National Bank of Rwanda;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Rwanda
Governors of Central Bank of Samoa;https://en.wikipedia.org/wiki/Category:Governors_of_Central_Bank_of_Samoa
Governors of the Central Bank of São Tomé and Príncipe;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Governors of the Saudi Arabian Monetary Agency;https://en.wikipedia.org/wiki/Category:Governors_of_the_Saudi_Arabian_Monetary_Agency
Governors of the National Bank of Serbia;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Serbia
Governors of the Central Bank of Seychelles;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Seychelles
Governors of the Bank of Sierra Leone;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Sierra_Leone
Chairmen of the Monetary Authority of Singapore;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Monetary_Authority_of_Singapore
Governors of the National Bank of Slovakia;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Slovakia
Governors of the Bank of Slovenia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Slovenia
Governors of Central Bank of Somalia;https://en.wikipedia.org/wiki/Category:Governors_of_Central_Bank_of_Somalia
Governors of the South African Reserve Bank;https://en.wikipedia.org/wiki/Category:Governors_of_the_South_African_Reserve_Bank
Governors of the Bank of South Sudan;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_South_Sudan
Governors of the Bank of Spain;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Spain
Governors of the Central Bank of Sri Lanka;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Sri_Lanka
Governors of the Central Bank of Suriname;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Suriname
Governors of Sveriges Riksbank;https://en.wikipedia.org/wiki/Category:Governors_of_Sveriges_Riksbank
Chairmen of the Board of Swiss National Bank;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Board_of_Swiss_National_Bank
Governors of the Central Bank of Syria;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Syria
Governors of the Central Bank of the Republic of China;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_Republic_of_China
Governors of the Bank of Tanzania;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Tanzania
Governors of the Bank of Thailand;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Thailand
Governors of National Reserve Bank of Tonga;https://en.wikipedia.org/wiki/Category:Governors_of_National_Reserve_Bank_of_Tonga
Governors of the Central Bank of Trinidad and Tobago;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Trinidad_and_Tobago
Governors of the Central Bank of Tunisia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Tunisia
Governors of the Central Bank of Turkey;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Turkey
Deputy governors of the Bank of Uganda;https://en.wikipedia.org/wiki/Category:Deputy_governors_of_the_Bank_of_Uganda
Governors of the Bank of Uganda;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Uganda
Governors of the National Bank of Ukraine;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Ukraine
Governors of the Central Bank of the United Arab Emirates;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_the_United_Arab_Emirates
Presidents of the Central Bank of Uruguay;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Uruguay
Chairmen of the Board of Gosbank;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Board_of_Gosbank
Chairmen of the Central Bank of Uzbekistan;https://en.wikipedia.org/wiki/Category:Chairmen_of_the_Central_Bank_of_Uzbekistan
Presidents of the Central Bank of Venezuela;https://en.wikipedia.org/wiki/Category:Presidents_of_the_Central_Bank_of_Venezuela
Governors of the State Bank of Vietnam;https://en.wikipedia.org/wiki/Category:Governors_of_the_State_Bank_of_Vietnam
Governors of the Central Bank of Yemen;https://en.wikipedia.org/wiki/Category:Governors_of_the_Central_Bank_of_Yemen
Governors of the National Bank of Yugoslavia;https://en.wikipedia.org/wiki/Category:Governors_of_the_National_Bank_of_Yugoslavia
Governors of the Bank of Zambia;https://en.wikipedia.org/wiki/Category:Governors_of_the_Bank_of_Zambia
Governors of the Reserve Bank of Zimbabwe;https://en.wikipedia.org/wiki/Category:Governors_of_the_Reserve_Bank_of_Zimbabwe
