PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
Rui Miguen de Oliveira;Rui Oliveira;AGO;rui;oliveira;AGO;;;;;0;0;1996;;;;;Portugal;Vila Nova de Gaia;Board member;9;Rui Oliveira;https://en.wikipedia.org/wiki/Rui_Oliveira;Q23005289;35.0;exact_title|name_similarity:1.00;matched;1
Abrahão Pio dos Santos Gourgel;Abrahao Gourgel;AGO;abrahao;gourgel;AGO;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Walter Silva;Walter Silva;AGO;walter;silva;AGO;;;;;0;0;1977;;;;;Mexico;Mazatlán;Board member;1;Walter Silva;https://en.wikipedia.org/wiki/Walter_Silva;Q7966139;35.0;exact_title|name_similarity:1.00;matched;1
Suzana Monteiro;Suzana Monteiro;AGO;suzana;monteiro;AGO;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Kostandin Boshnjaku;Kostandin Boshnjaku;ALB;kostandin;boshnjaku;ALB;;;;;2;0;1888;;;;;Albania;Stegopul;President / Governor;1;Kostandin Boshnjaku;https://en.wikipedia.org/wiki/Kostandin_Boshnjaku;Q15998344;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Spiro Bakalli;Spiro Bakalli;ALB;spiro;bakalli;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Abdyl Këllezi;Abdyl Kellezi;ALB;abdyl;kellezi;ALB;;;;;2;0;1919;;;;;Albania;Tirana;President / Governor;8;Abdyl Këllezi;https://en.wikipedia.org/wiki/Abdyl_Këllezi;Q317983;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Qirjako Mihali;Qirjako Mihali;ALB;qirjako;mihali;ALB;;;;;2;0;1929;;;;;Albania;Korçë;President / Governor;1;Qirjako Mihali;https://en.wikipedia.org/wiki/Qirjako_Mihali;Q2121681;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Kostaq Postoli;Kostaq Postoli;ALB;kostaq;postoli;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Andrea Nako;Andrea Nako;ALB;andrea;nako;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Niko Gjyzari;Niko Gjyzari;ALB;niko;gjyzari;ALB;;;;;2;0;1934;;;;;Albania;Vlorë;President / Governor;11;Niko Gjyzari;https://en.wikipedia.org/wiki/Niko_Gjyzari;Q31668898;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
