PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
Stanislav A. Bogdankevich;Stanislav Bogdankevich;BLR;stanislav;bogdankevich;BLR;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Petr P. Prokopovich;Pyotr Prokopovich;BLR;pyotr;prokopovich;BLR;;;;;2;0;;;;;;;;President / Governor;;Pyotr Prokopovich;https://en.wikipedia.org/wiki/Pyotr_Prokopovich;Q4380355;35.0;exact_title|name_similarity:1.00;matched;1
Vladimir Ya. Senko;Vladimir Senko;BLR;vladimir;senko;BLR;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Gennady S. Aleynikov;Gennady Aleynikov;BLR;gennady;aleynikov;BLR;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Tamara D. Vinnikova;Tamara Vinnikova;BLR;tamara;vinnikova;BLR;;;;;2;1;;;;;;;;President / Governor;;;;;;;rejected;0
Nadezhda Yermakova ;Nadezhda Yermakova;BLR;nadezhda;yermakova;BLR;;;;;2;1;1953;2;Economic University;;;Belarus;Razaĺmova;President / Governor;4;Nadezhda Yermakova;https://en.wikipedia.org/wiki/Nadezhda_Yermakova;Q3646683;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Petr A. Mamanovich;Petr Mamanovich;BLR;petr;mamanovich;BLR;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Pavel Uladzimiravich Kalaur;Pavel Kalaur;BLR;pavel;kalaur;BLR;;;;;2;0;;;;;;;;President / Governor;;Pavel Kallaur;https://en.wikipedia.org/wiki/Pavel_Kallaur;Q18710422;26.6;name_similarity:0.96|econ_context|country_hint|role_hint;rejected;0
Pavel Kallaur;Pavel Kallaur;BLR;pavel;kallaur;BLR;2014;2025;12;3;2;0;1962;1;;;;Belarus;Bielavuša;President / Governor;8;Pavel Kallaur;https://en.wikipedia.org/wiki/Pavel_Kallaur;Q18710422;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Elena Mashnina;Elena Mashnina;BLR;elena;mashnina;BLR;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Dmitry Lapko;Dmitry Lapko;BLR;dmitry;lapko;BLR;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Sergei Kalechits;Sergei Kalechits;BLR;sergei;kalechits;BLR;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Alexander V. Lobanov;Alexander Lobanov;BLR;alexander;lobanov;BLR;;;;;0;0;;;;;;;;Board member;;Alexander Lobanov (artist);https://en.wikipedia.org/wiki/Alexander_Lobanov_(artist);Q1857695;26.29268292682927;strong_title|name_similarity:0.83;rejected;0
Sergey V. Dubkov;Sergey Dubkov;BLR;sergey;dubkov;BLR;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Yury M. Alymov;Yury Alymov;BLR;yury;alymov;BLR;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Taras Yu. Nadolyn;Taras Nadolyn;BLR;taras;nadolyn;BLR;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Ilona A. Durasova/Lednitskaya;Ilona Durasovalednitskaya;BLR;ilona;durasovalednitskaya;BLR;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Dmitry L. Kalechits;Dmitry Kalechits;BLR;dmitry;kalechits;BLR;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Sir Edney Cain;Edney Cain;BLZ;edney;cain;BLZ;;;;;2;0;1924;;;;;Belize;Belize;President / Governor;12;Edney Cain;https://en.wikipedia.org/wiki/Edney_Cain;Q26997689;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Sir Edney Cain;Edney Cain;BLZ;edney;cain;BLZ;;;;;2;0;1924;;;;;Belize;Belize;President / Governor;12;Edney Cain;https://en.wikipedia.org/wiki/Edney_Cain;Q26997689;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Manual Esquivel;Manual Esquivel;BLZ;manual;esquivel;BLZ;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Jorge Meliton Auil;Jorge Auil;BLZ;jorge;auil;BLZ;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Ricardo Pelayo;Ricardo Pelayo;BLZ;ricardo;pelayo;BLZ;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Joy Grant;Joy Grant;BLZ;joy;grant;BLZ;2016;2021;10;3;2;1;1951;1;;;;Belize;Belize City;President / Governor;2;Joy Grant;https://en.wikipedia.org/wiki/Joy_Grant;Q18978033;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Carla Barnett;Carla Barnett;BLZ;carla;barnett;BLZ;;;;;1;1;1958;1;;;;Belize;Belize City;Vice-president / Deputy-governor;2;Carla Barnett;https://en.wikipedia.org/wiki/Carla_Barnett;Q86004208;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Glenford Ysaguirre;Glenford Ysaguirre;BLZ;glenford;ysaguirre;BLZ;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Carla Burnett;Carla Burnett;BLZ;carla;burnett;BLZ;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Jaime Briceño;Jaime Briceno;BLZ;jaime;briceno;BLZ;;;;;0;0;;;;;;;;Board member;;Johnny Briceño;https://en.wikipedia.org/wiki/Johnny_Briceño;Q6266369;16.666666666666664;shared_last_name|name_similarity:0.67|country_hint;rejected;0
Francis Fonseca;Francis Fonseca;BLZ;francis;fonseca;BLZ;;;;;0;0;1967;2;Louisiana University of the West;;;Belize;Belize City;Board member;3;Francis Fonseca;https://en.wikipedia.org/wiki/Francis_Fonseca;Q5480967;39.0;exact_title|name_similarity:1.00|country_hint;matched;1
Kareem Michael;Kareem Michael;BLZ;kareem;michael;BLZ;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Vanessa Retreage;Vanessa Retreage;BLZ;vanessa;retreage;BLZ;;;;;0;1;;;;;;;;Board member;;;;;;;rejected;0
Robert Swift;Robert Swift;BLZ;robert;swift;BLZ;;;;;2;0;1985;1;;;;United States;Bakersfield;President / Governor;12;Robert Swift;https://en.wikipedia.org/wiki/Robert_Swift;Q2657620;35.0;exact_title|name_similarity:1.00;matched;1
Alan Slusher;Alan Slusher;BLZ;alan;slusher;BLZ;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Keith Arnold;Keith Arnold;BLZ;keith;arnold;BLZ;;;;;2;0;;;;;;;;President / Governor;;Keith Arnold (bishop);https://en.wikipedia.org/wiki/Keith_Arnold_(bishop);Q6383998;25.741935483870968;strong_title|name_similarity:0.77;rejected;0
Sydney Campbell;Sydney Campbell;BLZ;sydney;campbell;BLZ;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Marilyn Gardinerusher;Marilyn Gardinerusher;BLZ;marilyn;gardinerusher;BLZ;;;;;1;1;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
John Mencias;John Mencias;BLZ;john;mencias;BLZ;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Nestor Vasquez;Nestor Vasquez;BLZ;nestor;vasquez;BLZ;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;Jules Vasquez;https://en.wikipedia.org/wiki/Jules_Vasquez;Q66661710;30.407407407407405;shared_last_name|name_similarity:0.74|econ_context|country_hint|role_hint;rejected;0
Gustavo Manuel Vasquez;Gustavo Vasquez;BLZ;gustavo;vasquez;BLZ;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Matthew Elderfield;Matthew Elderfield;BMU;matthew;elderfield;BMU;;;;;2;0;1966;;;;;;;President / Governor;1;Matthew Elderfield;https://en.wikipedia.org/wiki/Matthew_Elderfield;Q6790458;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Darren Q. Johnston;Darren Johnston;BMU;darren;johnston;BMU;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Mansfield Brock;Mansfield Brock;BMU;mansfield;brock;BMU;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Cheryl-Ann Lister;Cheryl Lister;BMU;cheryl;lister;BMU;;;;;2;1;;;;;;;;President / Governor;;;;;;;rejected;0
Alan C. Cossar;Alan Cossar;BMU;alan;cossar;BMU;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Gerald D.E. Simons;Gerald Simons;BMU;gerald;simons;BMU;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Raúl Boada Rodríguez;Raul Rodriguez;BOL;raul;rodriguez;BOL;;;;;2;0;;;;;;;;President / Governor;;Raúl Rodríguez (boxer);https://en.wikipedia.org/wiki/Raúl_Rodríguez_(boxer);Q7299837;26.235294117647054;strong_title|name_similarity:0.82;rejected;0
Pablo Ramos Sánchez;Pablo Sanchez;BOL;pablo;sanchez;BOL;;;;;2;0;;;;;;;;President / Governor;;Pablo Sánchez-Valladares;https://en.wikipedia.org/wiki/Pablo_Sánchez-Valladares;Q95494523;25.027027027027028;strong_title|name_similarity:0.70;rejected;0
Armando Méndez Morales;Armando Morales;BOL;armando;morales;BOL;;;;;2;0;1927;;;;;Nicaragua;Granada;President / Governor;1;Armando Morales;https://en.wikipedia.org/wiki/Armando_Morales;Q4792796;35.0;exact_title|name_similarity:1.00;matched;1
Juan Antonio Morales;Juan Morales;BOL;juan;morales;BOL;;;;;2;0;;;;;;;;President / Governor;;Juan Morales (hurdler);https://en.wikipedia.org/wiki/Juan_Morales_(hurdler);Q522917;25.5;strong_title|name_similarity:0.75;rejected;0
Fernando Baldivieso;Fernando Baldivieso;BOL;fernando;baldivieso;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Agustín Saavedra Weise;Agustin Weise;BOL;agustin;weise;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Armando Siles;Armando Siles;BOL;armando;siles;BOL;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Gabriel Loza Tellería;Gabriel Telleria;BOL;gabriel;telleria;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Fernando Prudencio;Fernando Prudencio;BOL;fernando;prudencio;BOL;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Marcelo Zabalaga;Marcelo Zabalaga;BOL;marcelo;zabalaga;BOL;2010;2017;11;3;2;0;1953;1;;;;Bolivia;Cochabamba;President / Governor;8;Marcelo Zabalaga;https://en.wikipedia.org/wiki/Marcelo_Zabalaga;Q11988100;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Luis Olea;Luis Olea;BOL;luis;olea;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Gustavo Blacutt Alcalà;Gustavo Alcala;BOL;gustavo;alcala;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Guillermo Aponte Reyes Ortiz;Guillermo Ortiz;BOL;guillermo;ortiz;BOL;;;;;2;0;;;;;;;;President / Governor;;Guillermo Ortiz Martínez;https://en.wikipedia.org/wiki/Guillermo_Ortiz_Martínez;Q911058;38.69230769230769;strong_title|name_similarity:0.77|econ_context|role_hint;rejected;0
Ernesto Aguilar;Ernesto Aguilar;BOL;ernesto;aguilar;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Roger Edwin Rojas Ulo;Roger Ulo;BOL;roger;ulo;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Alfredo Alexander Jordán;Alfredo Jordan;BOL;alfredo;jordan;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
José María Gutiérrez;Jose Gutierrez;BOL;jose;gutierrez;BOL;;;;;2;0;;;;;;;;President / Governor;;José Gutiérrez Guerra;https://en.wikipedia.org/wiki/José_Gutiérrez_Guerra;Q3306291;43.0;strong_title|name_similarity:0.80|econ_context|country_hint|role_hint;rejected;0
Alcides Molina;Alcides Molina;BOL;alcides;molina;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Humberto Cuenca de la Riva;Humberto Riva;BOL;humberto;riva;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Armando Pinell Centellas;Armando Centellas;BOL;armando;centellas;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Franklin Antezana Paz;Franklin Paz;BOL;franklin;paz;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Luis Peñaloza Cordero;Luis Cordero;BOL;luis;cordero;BOL;;;;;2;0;;;;;;;;President / Governor;;Luis Cordero Crespo;https://en.wikipedia.org/wiki/Luis_Cordero_Crespo;Q889119;38.74193548387097;strong_title|name_similarity:0.77|econ_context|role_hint;rejected;0
Eufronio Hinojosa Guzmán;Eufronio Guzman;BOL;eufronio;guzman;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Humberto Fossati Rocha;Humberto Rocha;BOL;humberto;rocha;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Raúl Lema Pelaez;Raul Pelaez;BOL;raul;pelaez;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Santiago Sologuren Sologuren;Santiago Sologuren;BOL;santiago;sologuren;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Alberto Ibañez Gonzales;Alberto Gonzales;BOL;alberto;gonzales;BOL;;;;;2;0;1955;3;"Academy; University; Harvard University";;;United States;San Antonio;President / Governor;8;Alberto Gonzales;https://en.wikipedia.org/wiki/Alberto_Gonzales;Q202350;35.0;exact_title|name_similarity:1.00;matched;1
Luis Arce Pacheco;Luis Pacheco;BOL;luis;pacheco;BOL;;;;;2;0;;;;;;;;President / Governor;;Luis Pacheco de Narváez;https://en.wikipedia.org/wiki/Luis_Pacheco_de_Narváez;Q2370221;24.857142857142858;strong_title|name_similarity:0.69;rejected;0
Jorge Jordán Ferrufino;Jorge Ferrufino;BOL;jorge;ferrufino;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Oscar Vega López;Oscar Lopez;BOL;oscar;lopez;BOL;;;;;2;0;;;;;;;;President / Governor;;Oscar López Rivera;https://en.wikipedia.org/wiki/Oscar_López_Rivera;Q7106111;38.58620689655172;strong_title|name_similarity:0.76|econ_context|role_hint;rejected;0
Wenceslao Alba Quiroz;Wenceslao Quiroz;BOL;wenceslao;quiroz;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Manuel Mercado Montero;Manuel Montero;BOL;manuel;montero;BOL;;;;;2;0;1991;;;;;Argentina;Buenos Aires;President / Governor;11;Manuel Montero;https://en.wikipedia.org/wiki/Manuel_Montero;Q6752744;35.0;exact_title|name_similarity:1.00;matched;1
Luis Bedregal Rodo;Luis Rodo;BOL;luis;rodo;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
José Justiniano Aguilera;Jose Aguilera;BOL;jose;aguilera;BOL;;;;;2;0;2000;;;;;Chile;Combarbalá;President / Governor;1;José Aguilera;https://en.wikipedia.org/wiki/José_Aguilera;Q56842928;35.0;exact_title|name_similarity:1.00;matched;1
Miguel Fabbri Cohn;Miguel Cohn;BOL;miguel;cohn;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Enrique García Ayaviri;Enrique Ayaviri;BOL;enrique;ayaviri;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Arturo Nuñez del Prado;Marcelo Prado;BOL;marcelo;prado;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Guido Salinas;Guido Salinas;BOL;guido;salinas;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Luis Viscarra Cruz;Luis Cruz;BOL;luis;cruz;BOL;;;;;2;0;1984;;;;;;Navojoa;President / Governor;2;Luis Cruz;https://en.wikipedia.org/wiki/Luis_Cruz;Q3266651;35.0;exact_title|name_similarity:1.00;matched;1
Herbert Müller Costas;Herbert Costas;BOL;herbert;costas;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Reynaldo Cardozo Arellano;Reynaldo Arellano;BOL;reynaldo;arellano;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Tamara Sánchez Peña;Tamara Pena;BOL;tamara;pena;BOL;;;;;2;1;;;;;;;;President / Governor;;;;;;;rejected;0
Javier Nogales Iturri;Javier Iturri;BOL;javier;iturri;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Jacques Trigo Loubiere;Jacques Loubiere;BOL;jacques;loubiere;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Fernando Candia Castillo;Fernando Castillo;BOL;fernando;castillo;BOL;;;;;2;0;;;;;;;;President / Governor;;Fernando Castillo Velasco metro station;https://en.wikipedia.org/wiki/Fernando_Castillo_Velasco_metro_station;Q5970123;37.07142857142857;strong_title|name_similarity:0.61|econ_context|role_hint;rejected;0
Armando Méndez Morales;Juan Morales;BOL;juan;morales;BOL;;;;;2;0;;;;;;;;President / Governor;;Juan Morales (hurdler);https://en.wikipedia.org/wiki/Juan_Morales_(hurdler);Q522917;25.5;strong_title|name_similarity:0.75;rejected;0
José Luis Evia Vizcarra;Jose Vizcarra;BOL;jose;vizcarra;BOL;;;;;0;0;;;;;;;;Board member;;José Vizcarra;https://en.wikipedia.org/wiki/José_Vizcarra;Q124250285;33.0;exact_title|name_similarity:1.00|econ_context|disambiguation_penalty;matched;1
Raul Garron Claure;Raul Claure;BOL;raul;claure;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Lenny Valdivia Bautista;Lenny Bautista;BOL;lenny;bautista;BOL;;;;;2;1;;;;;;;;President / Governor;;;;;;;rejected;0
Abraham Pérez Alandia;Abraham Alandia;BOL;abraham;alandia;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Reynaldo Yujra Segales;Reynaldo Segales;BOL;reynaldo;segales;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Rafael Bloyan Tellez;Rafael Tellez;BOL;rafael;tellez;BOL;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
David Iván Espinoza Torrico;David Torrico;BOL;david;torrico;BOL;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dênio Chagas Nogueir;Denio Nogueir;BRA;denio;nogueir;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Dênio Chagas Nogueira;Denio Nogueira;BRA;denio;nogueira;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Ary Burger;Ary Burger;BRA;ary;burger;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Galvêas;Ernane Galveas;BRA;ernane;galveas;BRA;1968;1974;2;3;2;0;1922;2;Princeton University;;;Brazil;Cachoeiro de Itapemirim;President / Governor;10;Ernane Galvêas;https://en.wikipedia.org/wiki/Ernane_Galvêas;Q5861550;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Galvêas;Ernane Galveas;BRA;ernane;galveas;BRA;1968;1974;2;3;2;0;1922;2;Princeton University;;;Brazil;Cachoeiro de Itapemirim;President / Governor;10;Ernane Galvêas;https://en.wikipedia.org/wiki/Ernane_Galvêas;Q5861550;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Rui Aguiar da Silva Leme;Rui Leme;BRA;rui;leme;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Camões;Elmo Camoes;BRA;elmo;camoes;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Brandão;Carlos Brandao;BRA;carlos;brandao;BRA;2015;2018;1;12;2;0;1958;3;State University;;;Brazil;Colinas;President / Governor;6;Carlos Brandão;https://en.wikipedia.org/wiki/Carlos_Brandão;Q18707872;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Lycio de Faria;Lycio Faria;BRA;lycio;faria;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Paulo Hortêncio Pereira Lima;Paulo Lima;BRA;paulo;lima;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Bracher;Fernao Bracher;BRA;fernao;bracher;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Pastore;Affonso Pastore;BRA;affonso;pastore;BRA;1983;1985;9;3;2;0;1938;1;;;;Brazil;São Paulo;President / Governor;6;Affonso Celso Pastore;https://en.wikipedia.org/wiki/Affonso_Celso_Pastore;Q4689024;35.333333333333336;partial_title|name_similarity:0.83|econ_context|country_hint|role_hint;matched;1
Lira;Paulo Lira;BRA;paulo;lira;BRA;;;;;2;0;;;;;;;;President / Governor;;Vinicius Lira;https://en.wikipedia.org/wiki/Vinicius_Lira;Q131935711;15.217391304347826;shared_last_name|name_similarity:0.52|country_hint;rejected;0
Paulo Vieira da Cunha;Paulo Cunha;BRA;paulo;cunha;BRA;;;;;0;0;;;;;;;;Board member;;Paulo Cunha (businessman);https://en.wikipedia.org/wiki/Paulo_Cunha_(businessman);Q10346617;41.47058823529411;strong_title|name_similarity:0.65|econ_context|country_hint|role_hint;rejected;0
Gros;Francisco Gros;BRA;francisco;gros;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Gros;Francisco Gros;BRA;francisco;gros;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Malan;Pedro Malan;BRA;pedro;malan;BRA;1993;1994;9;12;2;0;1943;2;"Catholic University of Rio de; Janeiro University of California";;;Brazil;Petrópolis;President / Governor;2;Pedro Malan;https://en.wikipedia.org/wiki/Pedro_Malan;Q376883;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Langoni;Carlos Langoni;BRA;carlos;langoni;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Eris;Ibrahim Eris;BRA;ibrahim;eris;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Carlos Eduardo de Freitas;Carlos Freitas;BRA;carlos;freitas;BRA;;;;;2;0;1994;;;;;Portugal;Guimarães;President / Governor;1;Carlos Freitas;https://en.wikipedia.org/wiki/Carlos_Freitas;Q27830845;35.0;exact_title|name_similarity:1.00;matched;1
Carlos Eduardo de Freitas;Carlos Freitas;BRA;carlos;freitas;BRA;;;;;0;0;1994;;;;;Portugal;Guimarães;Board member;1;Carlos Freitas;https://en.wikipedia.org/wiki/Carlos_Freitas;Q27830845;35.0;exact_title|name_similarity:1.00;matched;1
Meirelles;Hinrique Meirelles;BRA;hinrique;meirelles;BRA;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Lemgruber;Antonio Lemgruber;BRA;antonio;lemgruber;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Francisco Lopes;Francisco Lopes;BRA;francisco;lopes;BRA;;;;;2;0;1955;;;;;Portugal;Freguesia de Vila Cova de Alva;President / Governor;8;Francisco Lopes;https://en.wikipedia.org/wiki/Francisco_Lopes;Q3062583;48.0;exact_title|name_similarity:1.00|econ_context|role_hint;matched;1
Tereza Cristina Grossi Togni;Tereza Togni;BRA;tereza;togni;BRA;;;;;2;1;;;;;;;;President / Governor;;;;;;;rejected;0
Maria Celina Berardinelli Arraes;Maria Arraes;BRA;maria;arraes;BRA;;;;;0;0;1994;;;;;Brazil;Recife;Board member;2;Maria Arraes;https://en.wikipedia.org/wiki/Maria_Arraes;Q115550538;44.0;exact_title|name_similarity:1.00|country_hint|role_hint;matched;1
Alvir Alberto Hoffmann;Alvir Hoffmann;BRA;alvir;hoffmann;BRA;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Wadico Waldir Bucch;Wadico Bucch;BRA;wadico;bucch;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Antonio Gustavo Matos do Vale;Antonio Vale;BRA;antonio;vale;BRA;;;;;2;0;1982;;;;;Portugal;( 1982-04-03 ) 3 April 1982 (age 44) Lisbon;President / Governor;4;António do Vale;https://en.wikipedia.org/wiki/António_do_Vale;Q128106768;18.88888888888889;partial_title|name_similarity:0.89;matched;1
Antonio Gustavo Matos do Vale;Antonio Vale;BRA;antonio;vale;BRA;;;;;0;0;1982;;;;;Portugal;( 1982-04-03 ) 3 April 1982 (age 44) Lisbon;Board member;4;António do Vale;https://en.wikipedia.org/wiki/António_do_Vale;Q128106768;18.88888888888889;partial_title|name_similarity:0.89;matched;1
Persio Arida;Persio Arida;BRA;persio;arida;BRA;1995;1995;1;6;2;0;1952;3;"University of; Massachusetts Institute of Technology";;;Brazil;São Paulo;President / Governor;3;Pérsio Arida;https://en.wikipedia.org/wiki/Pérsio_Arida;Q7264675;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Sergio Werlang;Sergio Werlang;BRA;sergio;werlang;BRA;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Maria Arraes;Maria Arraes;BRA;maria;arraes;BRA;;;;;0;0;1994;;;;;Brazil;Recife;Board member;2;Maria Arraes;https://en.wikipedia.org/wiki/Maria_Arraes;Q115550538;44.0;exact_title|name_similarity:1.00|country_hint|role_hint;matched;1
Luiz Edson Feltrim;Luiz Feltrim;BRA;luiz;feltrim;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Franco;Gustavo Franco;BRA;gustavo;franco;BRA;1997;1999;8;3;2;0;1956;6;;;"Harvard University; Catholic University of Rio";Brazil;Rio de Janeiro;President / Governor;1;Gustavo Franco;https://en.wikipedia.org/wiki/Gustavo_Franco;Q5621403;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Neto;Arminio Neto;BRA;arminio;neto;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Sidnei Marqsue;Sidnei Marqsue;BRA;sidnei;marqsue;BRA;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Daniel Luiz Gleizer;Daniel Gleizer;BRA;daniel;gleizer;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Daniel Luiz Gleizer;Daniel Gleizer;BRA;daniel;gleizer;BRA;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Aldo Luiz Mendes;Aldo Mendes;BRA;aldo;mendes;BRA;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Beny Parnes;Beny Parnes;BRA;beny;parnes;BRA;;;;;2;0;1959;6;;;Catholic University of Rio;Brazil;Rio de Janeiro;President / Governor;5;Beny Parnes;https://en.wikipedia.org/wiki/Beny_Parnes;Q4890727;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Luiz Awazu Pereira da Silva;Luiz Silva;BRA;luiz;silva;BRA;2003;2006;1;12;2;0;1945;2;;;;Brazil;Caetés;President / Governor;10;Luiz Inácio Lula da Silva;https://en.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva;Q37181;32.714285714285715;partial_title|name_similarity:0.57|econ_context|country_hint|role_hint;matched;1
Sidnei Corrêa Marques;Sidnei Marques;BRA;sidnei;marques;BRA;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
