search_name;iso3;position_original;wikipedia_title;wikipedia_person_url;wikipedia_qid;match_score;match_reason
Benet Beci;ALB;President / Governor;Benet Beci;https://en.wikipedia.org/wiki/Benet_Beci;Q132184886;47.0;exact_title|name_similarity:1.00|econ_context|country_hint
Andis Harasani;ALB;Board member;Andis Harasani;https://en.wikipedia.org/wiki/Andis_Harasani;Q13036997;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Frank Wong;ANT;President / Governor;Frank Wong;https://en.wikipedia.org/wiki/Frank_Wong;Q18217398;35.0;exact_title|name_similarity:1.00
Jose Romero;ANT;President / Governor;José E. Romero;https://en.wikipedia.org/wiki/José_E._Romero;Q6279347;19.166666666666664;partial_title|name_similarity:0.92
Juma Majid;ARE;Board member;Juma Al Majid;https://en.wikipedia.org/wiki/Juma_Al_Majid;Q6310767;35.69565217391305;partial_title|name_similarity:0.87|econ_context|country_hint|role_hint
Ronald Scott;ARE;President / Governor;Ronald Scott-Miller;https://en.wikipedia.org/wiki/Ronald_Scott-Miller;Q7365266;25.741935483870968;strong_title|name_similarity:0.77
Edelmiro Farrell;ARG;President / Governor;Edelmiro Julián Farrell;https://en.wikipedia.org/wiki/Edelmiro_Julián_Farrell;Q356699;35.205128205128204;partial_title|name_similarity:0.82|econ_context|country_hint|role_hint
Juan Peron;ARG;President / Governor;Juan Perón;https://en.wikipedia.org/wiki/Juan_Perón;Q93330;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Juan Peron;ARG;President / Governor;Juan Perón;https://en.wikipedia.org/wiki/Juan_Perón;Q93330;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Juan Peron;ARG;President / Governor;Juan Perón;https://en.wikipedia.org/wiki/Juan_Perón;Q93330;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Juan Peron;ARG;President / Governor;Juan Perón;https://en.wikipedia.org/wiki/Juan_Perón;Q93330;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Pedro Aramburu;ARG;President / Governor;Pedro Eugenio Aramburu;https://en.wikipedia.org/wiki/Pedro_Eugenio_Aramburu;Q188974;34.77777777777778;partial_title|name_similarity:0.78|econ_context|country_hint|role_hint
Alfredo Morales;ARG;President / Governor;Alfredo Morales;https://en.wikipedia.org/wiki/Alfredo_Morales;Q443222;35.0;exact_title|name_similarity:1.00
Arthur Frondizi;ARG;President / Governor;Arturo Frondizi;https://en.wikipedia.org/wiki/Arturo_Frondizi;Q346658;32.333333333333336;shared_last_name|name_similarity:0.93|econ_context|country_hint|role_hint
Hector Campora;ARG;President / Governor;Héctor José Cámpora;https://en.wikipedia.org/wiki/Héctor_José_Cámpora;Q356751;35.484848484848484;partial_title|name_similarity:0.85|econ_context|country_hint|role_hint
Jose Guido;ARG;President / Governor;José María Guido;https://en.wikipedia.org/wiki/José_María_Guido;Q470971;34.69230769230769;partial_title|name_similarity:0.77|econ_context|country_hint|role_hint
Juan Ongania;ARG;President / Governor;Juan Carlos Onganía;https://en.wikipedia.org/wiki/Juan_Carlos_Onganía;Q365326;34.74193548387097;partial_title|name_similarity:0.77|econ_context|country_hint|role_hint
Alejandro Lanusse;ARG;President / Governor;Alejandro Agustín Lanusse;https://en.wikipedia.org/wiki/Alejandro_Agustín_Lanusse;Q345487;35.095238095238095;partial_title|name_similarity:0.81|econ_context|country_hint|role_hint
Roberto Levingston;ARG;President / Governor;Roberto Marcelo Levingston;https://en.wikipedia.org/wiki/Roberto_Marcelo_Levingston;Q380980;35.18181818181818;partial_title|name_similarity:0.82|econ_context|country_hint|role_hint
