search_name;iso3;position_original;reason
Klaus Liebscher;AUT;President / Governor;no_reliable_match
Gertrude Tumpelgugerell;AUT;Vice-president / Deputy-governor;no_reliable_match
Gertrude Tumpelgugerell;AUT;Board member;no_reliable_match
Ingrid Reischl;AUT;Board member;no_reliable_match
Gottfried Haber;AUT;Vice-president / Deputy-governor;no_reliable_match
Harald Mahrer;AUT;Board member;no_reliable_match
Bettina Dorferpauschenwein;AUT;Vice-president / Deputy-governor;no_reliable_match
Qalib Agayev;AZE;President / Governor;no_reliable_match
Qalib Agayev;AZE;President / Governor;no_reliable_match
Alim Guliyev;AZE;Vice-president / Deputy-governor;no_reliable_match
Cavansir Abdullayev;AZE;President / Governor;no_reliable_match
Greogiore Bayiyezako;BDI;President / Governor;no_reliable_match
Salvator Toyi;BDI;President / Governor;no_reliable_match
Gregoire Banyiyezako;BDI;President / Governor;no_reliable_match
Gaspard Sindayigaya;BDI;President / Governor;no_reliable_match
Bonaventure Kidwingira;BDI;President / Governor;no_reliable_match
Elisee Ntahonikora;BDI;President / Governor;no_reliable_match
Aloys Ntahonkiriye;BDI;President / Governor;no_reliable_match
Isaac Budabuda;BDI;President / Governor;no_reliable_match
Isaac Bizimana;BDI;President / Governor;no_reliable_match
Jean Ciza;BDI;President / Governor;no_reliable_match
Edouard Bigendako;BDI;President / Governor;no_reliable_match
Cecil Strycker;BEL;President / Governor;no_reliable_match
Rik Branson;BEL;Board member;no_reliable_match
Didier Matray;BEL;Board member;no_reliable_match
Jan Smets;BEL;President / Governor;no_reliable_match
Eddy Varmoesen;BEL;Board member;no_reliable_match
Marcia Wachter;BEL;Board member;no_reliable_match
Guy Haaze;BEL;Board member;no_reliable_match
Rudy Leeuw;BEL;Board member;no_reliable_match
Jan Vercamst;BEL;Board member;no_reliable_match
Christl Joris;BEL;Board member;no_reliable_match
Yves Prete;BEL;Board member;no_reliable_match
Jean Cats;BEL;Board member;no_reliable_match
Eric Mathay;BEL;Board member;no_reliable_match
Michele Detaille;BEL;Board member;no_reliable_match
Claire Tillekaerts;BEL;Board member;no_reliable_match
Hans Dhondt;BEL;Board member;no_reliable_match
Jean Eylenbosch;BEL;Board member;no_reliable_match
Tom Dechaene;BEL;Board member;no_reliable_match
Mario Coppens;BEL;Board member;no_reliable_match
Thierry Bodson;BEL;Board member;no_reliable_match
Christine Mahy;BEL;Board member;no_reliable_match
Marc Leemans;BEL;Board member;no_reliable_match
Mia Schamphelaere;BEL;Board member;no_reliable_match
Tom Dechaene;BEL;Vice-president / Deputy-governor;no_reliable_match
Christian Thillo;BEL;Board member;no_reliable_match
Fabienne Bister;BEL;Board member;no_reliable_match
Veronique Thirion;BEL;Board member;no_reliable_match
Jo Swyngedouw;BEL;Board member;no_reliable_match
Veronique Thirion;BEL;Board member;no_reliable_match
Robert Vertenueil;BEL;Board member;no_reliable_match
Karel Eetvel;BEL;Board member;no_reliable_match
Sonja Becker;BEL;Board member;no_reliable_match
Pierre Wunsch;BEL;President / Governor;no_reliable_match
Gregoire Koutentakis;BEL;Board member;no_reliable_match
Vincent Magnee;BEL;Board member;no_reliable_match
Danny Assche;BEL;Board member;no_reliable_match
Estelle Cantillo;BEL;Board member;no_reliable_match
Tim Hermans;BEL;Board member;no_reliable_match
Geraldine Stichele;BEL;Board member;no_reliable_match
Pieter Verhelst;BEL;Board member;no_reliable_match
Lionel Rouget;BEL;Board member;no_reliable_match
Dimitri Lhoste;BEL;Board member;no_reliable_match
Louise Fromont;BEL;Board member;no_reliable_match
Bernard Jurion;BEL;Board member;no_reliable_match
Edwin Boeck;BEL;Board member;no_reliable_match
Marjan Maes;BEL;Board member;no_reliable_match
Gilles Vandorpe;BEL;Board member;no_reliable_match
Houessou Hadonou;BEN;Board member;no_reliable_match
Oumara Assouma;BEN;Board member;no_reliable_match
Alain Komaclo;BEN;Board member;no_reliable_match
Emmanuel Assilamehoo;BEN;Board member;no_reliable_match
Robert Julienne;BFA;President / Governor;no_reliable_match
Abdoulaye Fadiga;BFA;President / Governor;no_reliable_match
Philippe Dakourytabley;BFA;President / Governor;no_reliable_match
Jean Compaore;BFA;Vice-president / Deputy-governor;no_reliable_match
A Hamidullah;BGD;President / Governor;no_reliable_match
Lutfar Sarkar;BGD;President / Governor;no_reliable_match
Shegufta Chaudhuri;BGD;President / Governor;no_reliable_match
Sanat Saha;BGD;Board member;no_reliable_match
Mustafa Mujeri;BGD;Board member;no_reliable_match
A Islam;BGD;Board member;no_reliable_match
Mohammad Taslim;BGD;President / Governor;no_reliable_match
Sadiq Ahmed;BGD;Board member;no_reliable_match
Rushidan Rahman;BGD;Board member;no_reliable_match
Shafiqur Patwari;BGD;Board member;no_reliable_match
Musharraf Bhuiyan;BGD;President / Governor;no_reliable_match
Kazi Muktadir;BGD;Vice-president / Deputy-governor;no_reliable_match
Hedayetullah Mamoon;BGD;Board member;no_reliable_match
Hedayetullah Mamoon;BGD;President / Governor;no_reliable_match
Abu Nasser;BGD;Vice-president / Deputy-governor;no_reliable_match
Abdur Talukder;BGD;Board member;no_reliable_match
Abdur Talukder;BGD;President / Governor;no_reliable_match
Md Islam;BGD;Board member;no_reliable_match
Md Islam;BGD;Board member;no_reliable_match
Momtaz Ahmed;BGD;President / Governor;no_reliable_match
Kazi Rahman;BGD;Vice-president / Deputy-governor;no_reliable_match
Todor Valchev;BGR;President / Governor;no_reliable_match
Lyubomir Filipov;BGR;President / Governor;no_reliable_match
Svetoslav Gavriiski;BGR;President / Governor;no_reliable_match
Emilia Milanova;BGR;Vice-president / Deputy-governor;no_reliable_match
Oleg Nedyalkov;BGR;President / Governor;no_reliable_match
Emiliya Milanova;BGR;President / Governor;no_reliable_match
Dimiter Kostov;BGR;Vice-president / Deputy-governor;no_reliable_match
Tsvetan Gunev;BGR;Vice-president / Deputy-governor;no_reliable_match
Tsvetan Manchev;BGR;Vice-president / Deputy-governor;no_reliable_match
Tsvetan Manchev;BGR;Vice-president / Deputy-governor;no_reliable_match
Nina Stoyanova;BGR;Vice-president / Deputy-governor;no_reliable_match
Kalin Hristov;BGR;Vice-president / Deputy-governor;no_reliable_match
Radoslav Milenkov;BGR;Vice-president / Deputy-governor;no_reliable_match
Lyudmila Elkova;BGR;Board member;no_reliable_match
Lyudmila Elkova;BGR;Board member;no_reliable_match
Elitsa Nikolova;BGR;Board member;no_reliable_match
Iliya Lingorski;BGR;Board member;no_reliable_match
Ivan Stefanov;BGR;President / Governor;no_reliable_match
Tzonyu Tzonchev;BGR;President / Governor;no_reliable_match
Atanas Mechkarov;BGR;President / Governor;no_reliable_match
Vela Lukanova;BGR;President / Governor;no_reliable_match
Kiril Nestorov;BGR;President / Governor;no_reliable_match
Kiril Zarev;BGR;President / Governor;no_reliable_match
Veselin Nikiforov;BGR;President / Governor;no_reliable_match
Ivan Dragnevski;BGR;President / Governor;no_reliable_match
Garabed Minassian;BGR;Board member;no_reliable_match
Rumen Simeonov;BGR;Vice-president / Deputy-governor;no_reliable_match
Penka Kratunova;BGR;President / Governor;no_reliable_match
Boryana Pencheva;BGR;Board member;no_reliable_match
Nelly Kordovska;BGR;Board member;no_reliable_match
Abdullah Saif;BHR;President / Governor;no_reliable_match
Rasheed Maraj;BHR;President / Governor;no_reliable_match
Abdul Albaker;BHR;Board member;no_reliable_match
Abdulla Saif;BHR;President / Governor;no_reliable_match
Khalid Humaidan;BHR;President / Governor;no_reliable_match
Carleton Williams;BHS;Board member;no_reliable_match
Warren Rolle;BHS;Board member;no_reliable_match
Collin Callender;BHS;Board member;no_reliable_match
Julian Reapp;BHS;President / Governor;no_reliable_match
Pandora Johnson;BHS;Board member;no_reliable_match
Vincent Vanderpoolwallace;BHS;Board member;no_reliable_match
Archdeacon Palacious;BHS;Board member;no_reliable_match
Michael Lightbourne;BHS;Vice-president / Deputy-governor;no_reliable_match
Edgar Moxey;BHS;Board member;no_reliable_match
Paula Adderley;BHS;Board member;no_reliable_match
Kasim Omicevic;BIH;President / Governor;no_reliable_match
Vasilj Zarkovic;BIH;Board member;no_reliable_match
Zeljko Sain;BIH;Board member;no_reliable_match
Ankica Kolobaric;BIH;Board member;no_reliable_match
Kemal Kozaricbis;BIH;President / Governor;no_reliable_match
Radomir Bozic;BIH;Vice-president / Deputy-governor;no_reliable_match
Fikret Causevic;BIH;President / Governor;no_reliable_match
Vladusic Ljubisa;BIH;Vice-president / Deputy-governor;no_reliable_match
Zeljko Maric;BIH;Vice-president / Deputy-governor;no_reliable_match
Manoijo Coric;BIH;Board member;no_reliable_match
Mehmed Jahit;BIH;Board member;no_reliable_match
Trivo Marinkovic;BIH;Board member;no_reliable_match
Marko Vidojevic;BIH;Vice-president / Deputy-governor;no_reliable_match
Nikolai Omelyanovich;BLR;President / Governor;no_reliable_match
Stanislav Bogdankevich;BLR;President / Governor;no_reliable_match
Vladimir Senko;BLR;Board member;no_reliable_match
Gennady Aleynikov;BLR;President / Governor;no_reliable_match
Tamara Vinnikova;BLR;President / Governor;no_reliable_match
Petr Mamanovich;BLR;Board member;no_reliable_match
Elena Mashnina;BLR;Board member;no_reliable_match
Dmitry Lapko;BLR;Board member;no_reliable_match
Sergei Kalechits;BLR;Vice-president / Deputy-governor;no_reliable_match
Sergey Dubkov;BLR;Vice-president / Deputy-governor;no_reliable_match
Yury Alymov;BLR;Vice-president / Deputy-governor;no_reliable_match
Taras Nadolyn;BLR;Board member;no_reliable_match
Ilona Durasovalednitskaya;BLR;Board member;no_reliable_match
Dmitry Kalechits;BLR;Board member;no_reliable_match
Manual Esquivel;BLZ;Board member;no_reliable_match
Jorge Auil;BLZ;President / Governor;no_reliable_match
Ricardo Pelayo;BLZ;Board member;no_reliable_match
Glenford Ysaguirre;BLZ;President / Governor;no_reliable_match
Carla Burnett;BLZ;Board member;no_reliable_match
Kareem Michael;BLZ;President / Governor;no_reliable_match
Vanessa Retreage;BLZ;Board member;no_reliable_match
Alan Slusher;BLZ;President / Governor;no_reliable_match
Sydney Campbell;BLZ;President / Governor;no_reliable_match
Marilyn Gardinerusher;BLZ;Vice-president / Deputy-governor;no_reliable_match
John Mencias;BLZ;Board member;no_reliable_match
Gustavo Vasquez;BLZ;President / Governor;no_reliable_match
Darren Johnston;BMU;Vice-president / Deputy-governor;no_reliable_match
Mansfield Brock;BMU;President / Governor;no_reliable_match
Cheryl Lister;BMU;President / Governor;no_reliable_match
Alan Cossar;BMU;President / Governor;no_reliable_match
Gerald Simons;BMU;President / Governor;no_reliable_match
Fernando Baldivieso;BOL;Board member;no_reliable_match
Agustin Weise;BOL;President / Governor;no_reliable_match
Armando Siles;BOL;Vice-president / Deputy-governor;no_reliable_match
Gabriel Telleria;BOL;President / Governor;no_reliable_match
Fernando Prudencio;BOL;Vice-president / Deputy-governor;no_reliable_match
Luis Olea;BOL;Board member;no_reliable_match
Gustavo Alcala;BOL;Board member;no_reliable_match
Ernesto Aguilar;BOL;Board member;no_reliable_match
Roger Ulo;BOL;President / Governor;no_reliable_match
Alfredo Jordan;BOL;President / Governor;no_reliable_match
Alcides Molina;BOL;President / Governor;no_reliable_match
Humberto Riva;BOL;President / Governor;no_reliable_match
Armando Centellas;BOL;President / Governor;no_reliable_match
Franklin Paz;BOL;President / Governor;no_reliable_match
Eufronio Guzman;BOL;President / Governor;no_reliable_match
Humberto Rocha;BOL;President / Governor;no_reliable_match
Raul Pelaez;BOL;President / Governor;no_reliable_match
Santiago Sologuren;BOL;President / Governor;no_reliable_match
Jorge Ferrufino;BOL;President / Governor;no_reliable_match
Wenceslao Quiroz;BOL;President / Governor;no_reliable_match
Luis Rodo;BOL;President / Governor;no_reliable_match
Miguel Cohn;BOL;President / Governor;no_reliable_match
Enrique Ayaviri;BOL;President / Governor;no_reliable_match
Marcelo Prado;BOL;President / Governor;no_reliable_match
Guido Salinas;BOL;President / Governor;no_reliable_match
Herbert Costas;BOL;President / Governor;no_reliable_match
Reynaldo Arellano;BOL;President / Governor;no_reliable_match
Tamara Pena;BOL;President / Governor;no_reliable_match
Javier Iturri;BOL;President / Governor;no_reliable_match
Jacques Loubiere;BOL;President / Governor;no_reliable_match
Raul Claure;BOL;President / Governor;no_reliable_match
Lenny Bautista;BOL;President / Governor;no_reliable_match
Abraham Alandia;BOL;Board member;no_reliable_match
Reynaldo Segales;BOL;Board member;no_reliable_match
Rafael Tellez;BOL;Board member;no_reliable_match
David Torrico;BOL;President / Governor;no_reliable_match
Denio Nogueir;BRA;President / Governor;no_reliable_match
Denio Nogueira;BRA;President / Governor;no_reliable_match
Ary Burger;BRA;President / Governor;no_reliable_match
Rui Leme;BRA;President / Governor;no_reliable_match
Elmo Camoes;BRA;President / Governor;no_reliable_match
Lycio Faria;BRA;President / Governor;no_reliable_match
Paulo Lima;BRA;President / Governor;no_reliable_match
Fernao Bracher;BRA;President / Governor;no_reliable_match
Francisco Gros;BRA;President / Governor;no_reliable_match
Francisco Gros;BRA;President / Governor;no_reliable_match
Carlos Langoni;BRA;President / Governor;no_reliable_match
Ibrahim Eris;BRA;President / Governor;no_reliable_match
Hinrique Meirelles;BRA;Board member;no_reliable_match
Antonio Lemgruber;BRA;President / Governor;no_reliable_match
Tereza Togni;BRA;President / Governor;no_reliable_match
Alvir Hoffmann;BRA;Board member;no_reliable_match
Wadico Bucch;BRA;President / Governor;no_reliable_match
Sergio Werlang;BRA;Board member;no_reliable_match
Luiz Feltrim;BRA;President / Governor;no_reliable_match
Arminio Neto;BRA;President / Governor;no_reliable_match
Sidnei Marqsue;BRA;Board member;no_reliable_match
Daniel Gleizer;BRA;President / Governor;no_reliable_match
Daniel Gleizer;BRA;Board member;no_reliable_match
Aldo Mendes;BRA;President / Governor;no_reliable_match
Sidnei Marques;BRA;Board member;no_reliable_match
Eduardo Loyo;BRA;President / Governor;no_reliable_match
Rodrigo Azevedo;BRA;President / Governor;no_reliable_match
Reinaldo Grazie;BRA;Board member;no_reliable_match
Paulo Picchetti;BRA;Board member;no_reliable_match
Mario Mesquita;BRA;President / Governor;no_reliable_match
Tony Volpon;BRA;President / Governor;no_reliable_match
Mauricio Moura;BRA;Board member;no_reliable_match
Roberto Neto;BRA;President / Governor;no_reliable_match
Otavio Damaso;BRA;Board member;no_reliable_match
Isaac Ferreira;BRA;President / Governor;no_reliable_match
Isaac Ferreira;BRA;Board member;no_reliable_match
Joao Mello;BRA;Board member;no_reliable_match
Carolina Barros;BRA;Board member;no_reliable_match
Ailton Santos;BRA;Board member;no_reliable_match
Tiago Berriel;BRA;Board member;no_reliable_match
Fernanda Guardado;BRA;Board member;no_reliable_match
Diogo Guillen;BRA;Board member;no_reliable_match
