PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;wikipedia_url;Birth_month
Dhame Pite;Dhame Pite;ALB;dhame;pite;ALB;;;;;0;0;;;;;;;;;
Llazi Balliu;Llazi Balliu;ALB;llazi;balliu;ALB;;;;;0;0;;;;;;;;;
Tefta Çuçi;Tefta Cuci;ALB;tefta;cuci;ALB;;;;;0;1;;;;;;;;;
Limos Malaj;Limos Malaj;ALB;limos;malaj;ALB;;;;;0;0;;;;;;;;;
Halit Xhafa;Halit Xhafa;ALB;halit;xhafa;ALB;;;;;0;0;;;;;;;;;
Ela Golemi;Ela Golemi;ALB;ela;golemi;ALB;;;;;0;1;;;;;;;;;
Elisabeta Gjoni;Elisabeta Gjoni;ALB;elisabeta;gjoni;ALB;;;;;2;1;;;;;;;;;
Denada Prifti;Denada Prifti;ALB;denada;prifti;ALB;;;;;0;1;;;;;;;;;
E.D. Tromp;Emsley Tromp;ANT;emsley;tromp;ANT;;;;;2;0;;;;;;;;;
J.G.J. van Delden;Antoine Delden;ANT;antoine;delden;ANT;;;;;2;0;;;;;;;;;
P.C. Timmermans;Henri Timmermans;ANT;henri;timmermans;ANT;;;;;2;0;;;;;;;;;
V.A. Servage;Hans Servage;ANT;hans;servage;ANT;;;;;2;0;;;;;;;;;
L. Wong;Frank Wong;ANT;frank;wong;ANT;;;;;2;0;;;;;;;;;
Alberto Romero;Jose Romero;ANT;jose;romero;ANT;;;;;2;0;;;;;;;;;
Juma Al Majid;Juma Majid;ARE;juma;majid;ARE;;;;;0;0;;;;;;;;;
Khalil Mohammed Sharif Foulathi;Khalil Foulathi;ARE;khalil;foulathi;ARE;;;;;0;0;;;;;;;;;
Sultan Alsuwaidi;Sultan Alsuwaidi;ARE;sultan;alsuwaidi;UAE;;;;;2;0;;;;;;;;;
Abdulhamid Saeed Alahmadi;Abdulhamid Alahmadi;ARE;abdulhamid;alahmadi;ARE;;;;;2;0;;;;;;;;;
Khaled Mohammed Salem Balama Al Tameemi;Khaled Tameemi;ARE;khaled;tameemi;ARE;;;;;2;0;;;;;;;;;
Mubarak Rashed Al Mansoori;Mubarak Mansoori;ARE;mubarak;mansoori;ARE;;;;;2;0;;;;;;;;;
Omar Mohammed Ahmed Bin Sulaiman;Omar Sulaiman;ARE;omar;sulaiman;ARE;;;;;1;0;;;;;;;;;
Khalid Ahmed Altayer;Khalid Altayer;ARE;khalid;altayer;ARE;;;;;0;0;;;;;;;;;
Hamad Buamim;Hamad Buamim;ARE;hamad;buamim;ARE;;;;;0;0;;;;;;;;;
Ronald Scott;Ronald Scott;ARE;ronald;scott;ARE;;;;;2;0;;;;;;;;;
Abdelmalik al-Hamar;Abdelmalik Alhamar;ARE;abdelmalik;alhamar;ARE;;;;;2;0;;;;;;;;;
Abdelmalik al-Hamar;Abdelmalik Alhamar;ARE;abdelmalik;alhamar;ARE;;;;;2;0;;;;;;;;;
Sultan Bin Nasser Al-Suwaidi;Bin Alsuwaidi;ARE;bin;alsuwaidi;ARE;;;;;2;0;;;;;;;;;
Khalifa Nasser Bin Huwaileel;Khalifa Huwaileel;ARE;khalifa;huwaileel;ARE;;;;;0;0;;;;;;;;;
Saeed Rashid Alyateem Almuhairy;Saeed Almuhairy;ARE;saeed;almuhairy;ARE;;;;;0;0;;;;;;;;;
Younis Haji  Khoori;Younis Khoori;ARE;younis;khoori;ARE;;;;;0;0;;;;;;;;;
Edelmiro Farrell;Edelmiro Farrell;ARG;edelmiro;farrell;ARG;;;;;2;0;;;;;;;;;
Juan Peron;Juan Peron;ARG;juan;peron;ARG;;;;;2;0;;;;;;;;;
Juan Peron;Juan Peron;ARG;juan;peron;ARG;;;;;2;0;;;;;;;;;
Juan Peron;Juan Peron;ARG;juan;peron;ARG;;;;;2;0;;;;;;;;;
Juan Peron;Juan Peron;ARG;juan;peron;ARG;;;;;2;0;;;;;;;;;
Eduardo Longardi;Eduardo Longardi;ARG;eduardo;longardi;ARG;;;;;2;0;;;;;;;;;
Arturo Ilia;Arturo Ilia;ARG;arturo;ilia;ARG;;;;;2;0;;;;;;;;;
Pedro Eugenio Aramburu;Pedro Aramburu;ARG;pedro;aramburu;ARG;;;;;2;0;;;;;;;;;
Alfredo Gomez Morales;Alfredo Morales;ARG;alfredo;morales;ARG;;;;;2;0;;;;;;;;;
Arthur Frondizi;Arthur Frondizi;ARG;arthur;frondizi;ARG;;;;;2;0;;;;;;;;;
Hector Campora;Hector Campora;ARG;hector;campora;ARG;;;;;2;0;;;;;;;;;
Jose Maria Guido;Jose Guido;ARG;jose;guido;ARG;;;;;2;0;;;;;;;;;
Jorge Bermudez Emparanza;Jorge Emparanza;ARG;jorge;emparanza;ARG;;;;;2;0;;;;;;;;;
